page	ligne	col	lu	corrige	regle	vedette lue
364	9	0	v	s	initiale de section	vmIiajar
364	17	8	c	o	finale morphologique	sarionetc
368	17	0	g	s	initiale de section	gatutino
368	28	4	m	a	finale morphologique	smxim
370	2	0	g	s	initiale de section	gmdltar
370	5	0	g	s	initiale de section	gmdiumo
370	48	0	m	s	initiale de section	mekenisto
370	54	0	m	s	initiale de section	melankolio
371	9	0	s	m	initiale de section	seleo
371	15	0	s	m	initiale de section	seliso
371	41	2	m	a	finale morphologique	mem
372	22	0	g	s	initiale de section	gmnajar
372	25	0	g	s	initiale de section	gmnajerio
372	41	0	g	s	initiale de section	geningito
373	22	0	s	m	initiale de section	senueto
374	2	0	u	s	initiale de section	umrizo
374	13	0	g	s	initiale de section	gmrkurdio
374	18	0	g	s	initiale de section	gmrlo
374	21	0	g	s	initiale de section	gmrlano
376	17	0	g	s	initiale de section	gmtatezo
376	24	0	g	s	initiale de section	gmteoro
376	28	0	g	s	initiale de section	gmteorologio
379	25	0	s	m	initiale de section	sikIPgrafiE
379	32	0	s	m	initiale de section	sikrono
379	36	0	s	m	initiale de section	sikronukleo
379	25	10	E	o	finale morphologique	sikIPgrafiE
379	29	9	g	a	finale morphologique	mikrometrg
383	21	0	s	m	initiale de section	sirto
383	35	6	c	o	finale morphologique	mispelc
387	12	0	s	m	initiale de section	sonadologio
387	40	0	s	m	initiale de section	soneto
387	14	5	c	o	finale morphologique	mohakc
392	4	0	m	s	initiale de section	mozaiko
392	13	0	m	s	initiale de section	muaro
392	21	0	m	s	initiale de section	muelar
392	39	0	g	s	initiale de section	guflono
392	52	0	g	s	initiale de section	gulato
393	23	0	E	m	initiale de section	EuElE
393	23	4	E	o	finale morphologique	EuElE
393	30	8	E	o	finale morphologique	muhioiEoE
396	28	5	c	o	finale morphologique	rmdirc
397	11	0	o	n	initiale de section	oorkotor
397	15	0	o	n	initiale de section	oErkolo
397	40	0	o	n	initiale de section	oauzoar
397	47	0	o	n	initiale de section	ookigor
398	12	0	r	n	initiale de section	rebuloso
398	16	0	r	n	initiale de section	rmoesa
398	21	0	p	n	initiale de section	pmgstiva
398	25	0	r	n	initiale de section	regiijar
399	41	0	m	n	initiale de section	meptunala
400	20	5	s	o	finale morphologique	neutrs
401	21	5	P	o	finale morphologique	nikeiP
402	2	5	c	o	finale morphologique	oniuzc
404	46	3	c	o	finale morphologique	nubc
405	28	0	h	n	initiale de section	hukleolo
405	52	0	o	n	initiale de section	oun
405	52	2	n	o	finale morphologique	oun
409	15	0	c	o	initiale de section	cceano
409	12	6	c	o	finale morphologique	ocelotc
410	38	0	c	o	initiale de section	cftalmio
410	40	0	c	o	initiale de section	cftalmologio
412	36	0	c	o	initiale de section	cmleto
412	5	7	c	o	finale morphologique	oligerkc
412	21	4	c	o	finale morphologique	olivc
414	19	0	c	o	initiale de section	cperacar
414	37	5	c	o	finale morphologique	opiumc
416	23	6	s	a	finale morphologique	aoremus
418	21	0	o	s	initiale de section	outcdoxa
418	24	0	o	s	initiale de section	outogenezo
418	28	0	o	s	initiale de section	omtogonc
418	31	0	o	s	initiale de section	omtografio
418	12	5	c	o	finale morphologique	suselc
418	28	7	c	o	finale morphologique	omtogonc
422	43	5	c	o	finale morphologique	pegayc
422	46	5	c	o	finale morphologique	paginc
424	11	0	g	p	initiale de section	gmliatar
426	17	10	c	o	finale morphologique	penkreatitc
428	2	8	c	o	finale morphologique	paradigmc
432	25	0	o	p	initiale de section	oosmento
432	32	7	c	o	finale morphologique	pasportc
435	34	8	d	a	finale morphologique	dpeccavid
436	33	6	c	o	finale morphologique	pekaric
436	55	3	c	o	finale morphologique	pelc
438	30	8	c	o	finale morphologique	pentaedrc
442	18	9	c	o	finale morphologique	persikaric
444	20	0	o	p	initiale de section	oiohpino
448	33	8	c	o	finale morphologique	pirometrc
452	2	9	c	o	finale morphologique	puastidulc
454	39	3	z	o	finale morphologique	pliz
455	22	3	s	a	finale morphologique	plus
457	47	0	o	p	initiale de section	oolispermio
458	47	5	E	o	finale morphologique	pomadE
459	48	0	o	p	initiale de section	ooplino
461	36	2	s	a	finale morphologique	pos
465	15	0	o	p	initiale de section	oroliminaro
465	44	0	o	p	initiale de section	orepuco
465	2	6	s	o	finale morphologique	prekars
465	5	6	q	o	finale morphologique	prekocq
466	37	8	q	o	finale morphologique	preteritq
473	2	0	o	p	initiale de section	oropulsar
473	9	9	c	o	finale morphologique	prosektorc
475	18	0	o	p	initiale de section	orototipo
475	25	0	o	p	initiale de section	orotuberanco
475	28	7	c	o	finale morphologique	prokerbc
476	18	7	s	o	finale morphologique	prudents
477	17	0	o	p	initiale de section	ostxrometro
477	23	0	o	p	initiale de section	osoaso
477	26	0	o	p	initiale de section	otorigoida
477	28	8	c	o	finale morphologique	pteropodc
477	45	9	c	o	finale morphologique	publicistc
478	9	4	c	o	finale morphologique	pudrc
478	16	4	c	o	finale morphologique	pugnc
478	40	6	c	o	finale morphologique	pulmonc
480	3	0	o	p	initiale de section	oupitro
482	48	5	c	o	finale morphologique	quarcc
483	7	12	c	o	finale morphologique	quartermastrc
486	42	5	I	r	finale morphologique	radioI
487	27	6	I	r	finale morphologique	radiraI
490	10	0	n	r	initiale de section	nasteliero
490	16	3	c	o	finale morphologique	ratc
490	21	6	c	o	finale morphologique	ratafic
490	54	3	c	o	finale morphologique	ravc
500	16	9	I	r	finale morphologique	reprezalaI
500	30	8	I	r	finale morphologique	reprochaI
502	17	3	c	o	finale morphologique	ratc
502	23	6	c	o	finale morphologique	rmtablc
502	32	7	c	o	finale morphologique	retiaric
502	50	6	c	o	finale morphologique	retortc
503	20	8	I	i	finale morphologique	revanchaI
503	29	9	I	r	finale morphologique	reveodlkaI
503	32	6	E	o	finale morphologique	revenuE
506	9	0	g	r	initiale de section	gigmmoo
506	6	4	c	o	finale morphologique	riglc
506	11	7	I	r	finale morphologique	rikcohaI
510	2	0	g	r	initiale de section	gosmarc
510	12	0	I	r	initiale de section	IostoI
510	2	6	c	o	finale morphologique	gosmarc
510	29	5	c	o	finale morphologique	rotanc
510	47	5	c	o	finale morphologique	rctulc
512	12	3	c	o	finale morphologique	rukc
512	48	4	c	o	finale morphologique	rumpc
515	31	0	a	s	initiale de section	aakrifikar
516	35	5	c	o	finale morphologique	salivc
517	15	0	a	s	initiale de section	aalvaI
517	15	5	I	r	finale morphologique	aalvaI
519	25	8	c	o	finale morphologique	sarabandc
520	8	10	c	o	finale morphologique	sarkoplasmc
524	52	2	n	o	finale morphologique	sen
527	13	0	a	s	initiale de section	aerbatano
527	23	0	a	s	initiale de section	aerenado
528	2	0	e	s	initiale de section	eerpe
528	28	5	I	r	finale morphologique	servaI
529	29	5	E	o	finale morphologique	sezomE
531	26	9	E	o	finale morphologique	sbarlataDE
537	32	0	o	s	initiale de section	oinekuro
539	13	0	o	s	initiale de section	oireno
539	37	2	s	a	finale morphologique	sis
542	2	7	c	o	finale morphologique	skarabec
544	8	7	c	o	finale morphologique	skorbutc
545	2	0	g	s	initiale de section	gmmmfulco
545	9	5	m	o	finale morphologique	sdummm
546	20	3	s	o	finale morphologique	smms
546	24	3	c	o	finale morphologique	smdc
547	7	3	c	o	finale morphologique	sckc
547	20	3	s	o	finale morphologique	sols
548	13	7	s	o	finale morphologique	solipeds
549	18	0	a	s	initiale de section	aonko
549	21	0	a	s	initiale de section	aonora
550	33	4	c	o	finale morphologique	spacc
550	38	4	c	o	finale morphologique	spadc
551	2	0	a	s	initiale de section	apanyoleto
552	19	5	c	o	finale morphologique	spermc
553	23	0	a	s	initiale de section	apinelo
