vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
administrar	trans	Direktar, surveyar la jero di la aferi di societo, di stato, di privato.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	7	5	14	
admirar	trans, pri, pro	Kontemplar astonate.		angla,franca,italiana,hispana	EFIS	7	8	14	korektita
admiralo	armeo navala	Oficiro di qua la grado esas maxima en la hierarkio di la navaro militala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	7	10	14	ordino-rompita
admisar	trans., aden	Aceptar aden loko ulu qua havas la qualesi postulata por lo.		angla,franca,italiana,hispana	EFIS	7	13	14	korektita
adolecar	netrans	Esar en ta evo-periodo qua sequas puer- eso e preiras adulteso (t.e. de 15 til 20 ev-yari). - EFIS. adoptar. (trans.) I. (ulu) Prenar legale kom filio. (Anke metafore). II. Igar sua la judiko-maniero o la ago-maniero di altru.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	7	16	14	korektita
adorar	trans	Honorizar quale se lu esus deo.		angla,franca,italiana,hispana	EFIS	7	23	14	
adosar	trans., an ulo	. Apogar per la dorso.		franca,italiana,hispana	FIS	7	25	14	korektita
adraganto	bot	Gumo qua defluas, forme di paceti vermatra, de tragakanto, L. Astragalus. DEFIRS.				7	27	14	sen-lingui
adreso		I. Domicilo di persono o di organismo. ¶ II. Sur- skriburo di letro-kuverto, e c., qua indikas ube habitas, ube lojas la destinario.		germana,angla,franca,rusa,hispana	DEFRS	7	30	14	
adsorbar	trans	Koncentrar, sur sua surfaco, substanci dissolvita.		germana,angla,franca,italiana	DEFI	7	34	14	korektita
adulta		Qua atingis la fino di sua kresko. (Dicesas precipue pri la homo qua evas plu kam 20 yari).		angla,franca,italiana,hispana	EFIS	7	37	14	korektita
adulterar	netrans., kun	Violacar sua promiso solena di fideleso sexuala a sua spozo.		angla,franca,italiana,hispana	EFIS	7	40	14	
adurolo	kemio	Revelilo fotografala, ek klorhidoquinono.				7	43	14	sen-lingui
advento	religio katolika	. La quar semani qui preiras la Kristo-nasko - tempo determinita da la Eklezio katolika, dum qua la religiani devas preparer su pri la arivo di Yesu- Kristo.		germana,angla,franca,italiana,hispana	DEFIS	7	45	14	korektita
adventiva		I. Qua devenas de ago acidenta. ¶ II. (biol.) Planto adventiva : Quan la homo ne semis.				7	50	14	sen-lingui,ordino-rompita
adverbo	gram	Vorto-speco nevariiva qua modifikas la senco di adjektivo, di verbo, di adverbo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	7	53	14	
adversa		Kontrea. (En lukto) La persono qua opozesas ad altra.		angla,franca,italiana,hispana	EFIS	8	3	15	
advokato		La homo di qua la profesiono konsistas ye pledar por la personi qui procesas koram tribunalo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	6	15	korektita
adyunto		Qua juntesas ad ulu kom lua helpanto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	9	15	
aero		Fluido gasa, diafana, ek oxo, azoto e kelka gasi skar- sa, difuzita en omna regioni di Tero, utila por respiro e kombusto.		germana,angla,franca,italiana,hispana	DEFIS	8	11	15	korektita
aerenkimo	biol	Tisuo ek lakuni respirala, quan onu ren- kontras en la organi (precipue la radiki) qui kreskas en slamo.				8	15	15	sen-lingui,ordino-rompita
aerobia	biol	Qua bezonas la oxo di aero por respirar.		germana,angla,franca,italiana,hispana	DEFIS	8	19	15	
aerolito	astron	Maso minerala qua falas adsur la surfa- co di Tero, de la regioni superega di atmosfero.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	22	15	
aerometro		Instrumento per qua onu povas mezurar la dens- eso-grado di aero, di gasi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	25	15	
aerometrio		La parto di fiziko qua studias la denseso-grado di aero, di gasi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	28	15	korektita,ordino-rompita
aeroplano	aviaco	Mashino qua povas sustenar su super-sule, en atmosfero, sen esar plu lejera kam ica, efike da la preso da vento sur la surfaci inklinita di lua quaza ali.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	31	15	
aeroskopo		Instrumento per qua onu kolektas (por studiar li) la polvuni mikroskopala qui suspendesas en atmosfero.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	36	15	korektita
aerostato		Balonego di qua la susteneso en atmosfero obten- esas per la uzo di gaso plu lejera kam aero.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	40	15	korektita
afabla		Qua aceptas sua kunhomi benigne, aminde. - EF IS. a.. Lo				8	43	15	sen-lingui
afazio	patol	Privaceso di la parol-fakultato, konjekt- eble pro lezuro cerebrala.		germana,angla,franca,italiana,hispana	DEFIS	8	45	15	korektita
afecionar	trans	Unionesar ad (ulu, ulo) per amo o prizo duranta.		angla,franca,italiana,hispana	EFIS	8	48	15	
afektar	trans	I. (medicino) (pri morbo) Efikar a la homo- korpo. ¶ II. (psikol.) Efikar a la psiko.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	8	51	15	korektita
afektacar	trans	Esar, agar, kondutar en maniero qua esas nur la semblo (di ulo).		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	3	16	ordino-rompita
afelio	astron	La punto di la orbito di planeto, ube la planeto distas maxime de Suno.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	6	16	
afero		I. To quon onu havas kom agenda (en maniero generala). ¶ II. (l) (politiko) To quo havas kom objekto la interesti di la stato. (2) To quo havas kom objekto la interesti privata. (3) komerco) Vendo-kontrato. (4)(judicio) To quo esas la objekto di debato judiciala.		germana,angla,franca,italiana,rusa	DEFIR	9	9	16	
afidio	zool	Insekto tre mikra qua adheras a la folii ed a la rami di la planti, por sugar li.		angla,franca,italiana,hispana	EFIS	9	15	16	
afina	ad	. Karakterizata da la tendenco a proximigar su (ad) ed ad unionar su (kun), a kombinar su (kun).		germana,angla,franca,italiana,hispana	DEFIS	9	18	16	korektita
afirmar	trans	Deklarar ke to o co esas vera.		germana,angla,franca,italiana,hispana	DEFIS	9	21	16	
afisho		Anunco a publiko per manuskriburo od imprimuro quan onu adherigas sur pordo, sur muro.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	23	16	korektita
afixo	gram	Partikulo quan onu adjuntas a la vorti por modifikar lia senco.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	26	16	
afliktar	trans	Frapar dolorigante (lua) korpo o psiko.		angla,franca,italiana,hispana	EFIS	9	29	16	
aforismo		Propoziciono pri ula cienco, arto, enuncita forme di sentenco.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	32	16	
afrankar	trans	Dispensar la destinario de la pago di la transporto-kusto, per agar ta pago lor la expedio.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	35	16	korektita
afrontar	trans	I. Opozar su, fronto an fronto. ¶ II. (metaf.) Abordar (danjero, tempesto) audacoze.		angla,franca,italiana,hispana	EFIS	9	38	16	
afto	patol	Mikra ulcero blankatra, qua aparas e kreskas sur la membrani mukoza di la boko o di faringo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	9	41	16	korektita
afusto	artilrio	Suportilo di kanono.		franca,italiana,hispana	FIS	9	44	16	
afuzionar	trans	Igar liquido fluar strate sur korpo-parto malada.		germana,angla,franca,italiana,hispana	DEFIS	9	46	16	
agar	trans	Exekutar la gesti, la movi di la korpo o di parti di olu, la movi psikala, qui esas necesa.		germana,franca,italiana,hispana	DFIS	9	49	16	
agacar	trans	Produktar mikra iriteso nervala o psikala - exemple per la froto di kultelo pozita vertikale sur plado o sur vitroplako, e c.		franca	F	10	7	17	ordino-rompita
agama	biol	Sen uniono intersexua.				10	11	17	sen-lingui
agapo	religio	Repasto quan, origine, la Kristani agis ko- mune.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	10	13	17	
agar-agaro		Gelatino vejetantala, obtenita de mar-algi.				10	16	17	sen-lingui
agariko	bot	Nomo di fungi diversa-sorta, manjebla o venen- oza. - EFIRS.	agaricus			10	18	17	sen-lingui,korektita
agato	mineral	Petro harda, varietato di quarco, qua dive- nas briloza per poliseso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	10	21	17	
agavo	bot	Genero de amarilidacei, qua devenas de Amerika, e konsistas ye cirkume cent speci Amerikana ; olua sapto, sukroza e tre abundanta, uzesas da la Mexikiani por prepa- rar drinkaji fermentacita.	agave	germana,angla,franca,italiana,rusa,hispana	DEFIRS	10	24	17	korektita
