vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
okulta		Di qua la kauzo permanas celata.		germana,angla,franca,italiana,hispana	DEFIS	404	40	411	
okultacar	trans	(astron.) (pri astro) Celar per in- terpozar su.		germana,angla,franca,italiana,hispana	DEFIS	404	42	411	korektita
okupar		trans.) I. Posedeskar loko, instalar su en lu, esta- blisar su en lu. ¶ II. Posedeskar (ulu) per absorbar lua spirito, lua kordio. ¶ III. Konsumar la tempo (di ulu).		germana,angla,franca,italiana,hispana	DEFIS	404	45	411	korektita
ol	u	. Pronomo personala, triesma persono, singularo, que reprezentas irgo altra kam persono.				404	50	411	finalo-nekutima,sen-lingui,korektita
olda		Qua vivas, od existas, de multa tempo.		angla	E	404	53	411	korektita
olfaktar	trans	Perceptar la odoro di (ulo, ulu).		angla,franca,italiana,hispana	EFIS	405	3	412	korektita
oligarko		Membro di guvernistaro oligarkiala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	405	5	412	korektita
oligarkio		Formo di guvernado, en qua la autoritato imperala praktikesas da mikra quanto de civitani privilejiera. DEFIRS.				405	7	412	sen-lingui,ordino-rompita
olibano	farmacio	. Rezino qua donas incenso.		angla,franca,italiana,hispana	EFIS	405	10	412	korektita,ordino-rompita
oligocena	geol	Dicesas pri grupo di tereno-strati terciara (sur eoceno, sub-an mioceno).		germana,angla,franca,italiana,hispana	DEFIS	405	12	412	
olim		En epoko qua forfluis de longe ante nun (quankam ne anti- qua.) L.				405	15	412	finalo-nekutima,sen-lingui,korektita
olimpiado	antique, en Grekia	. Periodo de quar yari, de celebro di la Olimpio-ludi til la celebro +nexta.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	405	18	412	korektita
olivo	bot	Frukto kernoza, elipsoida, verdatra, quan produk- tas arboro ye foliaro nevelkebla, L. olea europaea, e de qua onu extraktas oleo manjebla.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	405	21	412	korektita
ombro		I. Parto di surfaco lumizita, ube la lumo-radii intercept- esas da korpo opaka. ¶ II. La parto nelumizita qua, en surfaco lumizata, reproduktas la formo di korpo opaka qua interceptas la lumo-radii. EFIS.				405	25	412	sen-lingui
omento	kirurgio	. Granda rifalduro di la peritonio, qua fluk- tuas avan la intestino tenua.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	405	30	412	korektita
omisar	trans	Ne inkluzar, sive vole, sive pro oblivio, (ulo quon onu devas dicar od agar).		angla,franca,italiana,hispana	EFIS	405	33	412	korektita
omleto	koquarto	. Disho ek ovi plaudita e koquita en padelo, kun butro e kondimenti o spici.		germana,angla,franca,rusa	DEFR	405	36	412	korektita
omna		I. (avan substantivo plurala). Ici ed iti, sen ecepto. ¶ II. (avan substantivo singulara). Ica samagrade kam ita, sen dicerno nek distingo.		angla,italiana,latina	EIL	405	39	412	korektita
omnibuso		Veturo publika, qua cirkulas en la quarteri diversa di urbo, e haltas dum sua parkuro por lasar enirar (embarkar) od ekirar (desembarkar) la voyajanti quin lu transportas bloke po preco mikra.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	405	43	412	korektita
omnivora		Qua su nutras ye nutrivi irgaspeca - devenanta de animali o de vejetanti.		germana,angla,franca,italiana,hispana	DEFIS	405	48	412	
on	u	. Pronomo personala nedefinita, uzata por indikar un o plura personi ye maniero tre generala.		angla,franca	EF	405	51	412	finalo-nekutima,korektita
onagro		I. (zool.) Asno sovaja. L. asinus onager. II. (militarto). +Asiejo-mashino,uzita da la Romani anti- qua, qua esis quaza balisto per qua onu lansis aden la urbo +asiejata projektili diversa.		germana,angla,franca,italiana,hispana	DEFIS	406	2	413	korektita
onaniar	netrans	Produktar la orgasmo venerala per manuo vice per la koito normala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	7	413	korektita
ondo		Amaso de aquo qua superstaceskas e retrofalas sur la surfaco di maro, lago, fluvio, agitata da vento.		angla,franca,italiana,hispana	EFIS	406	10	413	
onixo		Agato delikata, kun strati interparalela diversa- kolora.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	14	413	
onklo		Frato di onua patro.		germana,angla,franca	DEF	406	17	413	
onomatopeo	gram	Vorto formacita per imito-harmonio. (ex.: gluglo, zumo).		germana,angla,franca,italiana,hispana	DEFIS	406	19	413	
-ont-	gram	Dezinenco di la participo futura ak- tiva.				406	22	413	finalo-nekutima,sen-lingui,korektita,ordino-rompita
ontogenezo	biol	Developo di la individuo, opoze a "filogenezo", o developo di la speco.		germana,angla,franca,italiana,hispana	DEFIS	406	25	413	korektita
ontologio		I. (biol.) Parto di biologio, qua traktas la fenomeni individuala quin prizentas organismo dum lua developo, lua adulteso e lua oldeso. ¶ II. (filoz.) Cienco metafizikala qua retroiras til la esenco, la kauzo prima di la ento.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	28	413	korektita
onyono	bot	Planto leguma, di qua la radiko bulba - qua odoras e saporas forte - uzesas en la preparaji nutrala. L. allkum cepa. EF.				406	34	413	sen-lingui,korektita
oocito	biol	Ovulo nematura nek fekundigebla, qua produktas (per du dupartigi) la ovulo matura e fekun- digebla, e la globuli polala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	38	413	korektita
oogenezo	biol	Formaco di la ovulo matura e fe- kundigebla.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	42	413	
oogonio	biol	Formaco di la celulo en qua aparas la elementi feminala, o oosferi, che multa vejetanti.				406	45	413	sen-lingui
oolito	geol	Kalkajo ek mikra grani ovoida qui kelke similesas fish-ovi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	406	48	413	korektita
oosfero	biol	Elemento feminala qua, pos fekundigesir da la elemento maskulala (polinido od anterozoido) genitas la ovo - departo-punto di nova ento vejetanta.				406	51	413	sen-lingui,korektita
oosporo	bot	Nomo donita ulakaze a la ovo di la algi o di la fungi, precipue kande la organo feminala (oosfero) liberigesas ante fekundigeso, nam lore la ovo kelke si- milesas sporo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	407	2	414	korektita
-op-		Sufixo distributala, kun nomi di nombro o di quanto.				407	7	414	finalo-nekutima,sen-lingui,ordino-rompita
opaka		Qua ne lasas la lumo-radii pasar tra su.		germana,angla,franca,italiana,hispana	DEFIS	407	9	414	korektita
opalo	geol	Lapido volkanala, lakto-blanka e bluatra, kun reflekti koloro-chanjanta.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	407	11	414	
opalecar	netrans	Qua aquiras nuanco opalea. DEFIS.				407	14	414	sen-lingui,korektita,ordino-rompita
opero		Verko teatrala e muzikala, qua konsistas ye recitativi, kanti helpata da orkestro, ed ulakaze kun dansi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	407	16	414	korektita
operacar		I. (trans.) (kirurgio) Submisar ad interveno kirur- giala. ¶ II. (netrans.) (1) (matem.) Agar la kalkuli quin onu efektigas departante de quanti konocita, por renkontrar un o plura quanti nekonocita. (2) (militarto) A g a r la trupo-diplasi qui havas kom skopo sucesigar atako o de- fenso. - (3) (en borso financala o komercala) Manovrar por sucesigar profitoze la kompro o la vendo di la komercajo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	407	19	414	korektita,ordino-rompita
operkulo	tekn	Aparato destinita ad obturar ula orifici. EFIS.				407	28	414	sen-lingui,korektita
opiato		I. Elektuario opiumoza. ¶ II. Irga elektuario, pasto ek pudro dilutita en siropo.		germana,angla,franca,italiana,hispana	DEFIS	407	31	414	
opinionar	netrans	Enuncar to quon onu judikas (sen funda- mento ciencale establisita) pri temo o persono.		angla,franca,italiana,hispana	EFIS	407	34	414	korektita
opiumo		Substanco narkotigiva, kalmigiva se uzata moderata- doze, ma venena granda-doze, quan onu extraktas de la suko di ula sorti de papaveri.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	407	37	414	korektita
-opl-		Sufixo pri multipliko.				407	41	414	finalo-nekutima,sen-lingui,korektita,ordino-rompita
opodeldoko	farmacio	Medikamento qua havas kom fundamento solvuro alkoholoza ek sapono animalala o medicinala, a qua onu adjuntas kamforo, amoniako ed esenco de timiano e de rosmarino,uzata fricione(kontre la dolori). - DEFI?				407	43	414	sen-lingui,korektita
oportuna		Qua eventas precize kande lo esas bona por to quo koncernesas.		germana,angla,franca,italiana,hispana	DEFIS	407	48	414	
oportar	netrans	Esar absolute necesa.		latina	L	407	51	414	korektita,ordino-rompita
opozar	trans	I. Lokizar (ulo) regarde ulo. ¶ II. Lokizar (ulu, ulo) regarde altra, por esar obstaklo pri ica. ¶ III. Alegar (ulo) kontre to quon dicas o pensas altru. DEFIRS.				407	53	414	sen-lingui
opresar	trans	I. Jenar (la pektoro) quale per preso qua havas kom efekto, ke onu respiras penoze. ¶ II. Koaktar per autoritato tiranala. ¶ III. Igar prostra- car korpale.		angla,franca,italiana,hispana	EFIS	408	2	415	korektita
optativo	gram	Modo di la konjugo, qua expresas la deziro.		germana,angla,franca,italiana,hispana	DEFIS	408	7	415	
optiko		Cienco pri la fenomeni di lumo e di vidado. DEFIRS				408	10	415	sen-lingui,korektita
optimismo		I. (filoz.) Doktrino segun qua deo kreis nia mondo kom la maxim bona ek le posibla. ¶ II. Tendenco judikar ke irgo esas la maxim bona ek la posiblaji. DEFIRS				408	12	415	sen-lingui
-or	gram	Dezinenco di la infinitivo di futureso. or. (konjunciono). I. En la punto quan atingis la rezono. ¶ II. (logiko) Konjunciono uzata por venigar la minoro, pos la majoro, di silogismo.		franca,italiana,hispana	FIS	408	16	415	korektita,ordino-rompita
oro	kemio	.Metalo flava, tre precoza, tre densa, tre duk- tila, tre maleebla, nealterebla da aero nek da aquo, quan onu uzas (aloyita kun kelka kupro) por facar moneto-peci granda-valora, juveli, e c. - Simb. kem. Au. FIS.				408	22	415	sen-lingui
oraklo		I. (en la epoki antiqua). Respondo agita, ye la nomo di la deajo, a la persono qua venis konsultar lu en lua templo. - II.Dico da deo, enuncita da la profeti, la apos- toli, e c. ¶ III. (metaf.) Respondo, decido, egardata kom neeroriva.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	408	27	415	korektita,ordino-rompita
orangutano	zool	Granda simio sen-kauda, qua similesas pasable la homo de la vidopunto "formo extera".	simia satyrus	germana,angla,franca,italiana,hispana	DEFIS	408	33	415	korektita
oranjo	bot	Frukto de arbusto di qua la foliaro ne vel- kas (L. citrus aurantium) sukoza, parfumoza, di qua la shelo esas flava oree.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	408	37	415	korektita
oratoro		Persono qua, profesione, agas diskursi.		angla,franca,italiana,rusa,hispana	EFIRS	408	41	415	
oratorio	muziko	. Dramato religiala, akompanata da mu- zikajo, destinita a pleeso sen dekoruri nek kostumi tea- trala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	408	43	415	ordino-rompita
orbito		I. (astron.) Kurvo alonge qua iras, propra-move, ula korpi cielala (planeti, kometi, e c.) ¶ II. (anat.) Osto- kavajo en qua esas la okuli.		angla,franca,italiana,rusa,hispana	EFIRS	408	47	415	
ordo	eklezio katol	Sakramento qua grantas un ek la gradi en la hierarkio ekleziala.				408	51	415	sen-lingui
ordeno		Singla de la grupi (religiala, +chevalierala, advo- katala, medikala) importoza, ye qua konsistas klasifikuro. DEFIRS.				408	54	415	sen-lingui,korektita,ordino-rompita
ordinar	trans	Dispozar - spacale, tempale o hierarkiale - segun ula regulo, ula normo, la kozi - ici relate iti.		germana,angla,franca,italiana,hispana	DEFIS	409	2	416	korektita
ordinacar	trans	(liturgio katol.). Elevar a sacerdoteso, diakoneso, e c., per konferar (a lu) ta ordo sakra.		germana,angla,franca,italiana,hispana	DEFIS	409	5	416	korektita,ordino-rompita
ordinara		Qua esas konforma a la ordineso kustumala ; qua esas ye la grado kustumala.		angla,franca,italiana,hispana	EFIS	409	8	416	korektita
ordonanco	armeo	.I.Servisto soldata di oficiro. II. Ordonanc- oficiro : kavaliero qua portas ad oficiro superiora la ko- mandi de alta oficiero di la stato.		germana,franca,italiana,rusa,hispana	DFIRS	409	11	416	korektita
oreado	mitol	Nimfo di la monti, di la boski. DEFS.				409	15	416	sen-lingui
orelo	anat	I. La organo di audado. ¶ II. Parto extera di la aud-organo, ye singla latero di la kapo.		angla,franca,italiana,hispana	EFIS	409	17	416	
oreliono	patol	Influro di la celulo-tisuo qua envelopas la glando parotida.		franca	F	409	20	416	ordino-rompita
		"oremus". (liturgio katol.) Prego.				409	23	416	sen-vedetto,sen-lingui,korektita
orfano		Infanto o puero di qua la patri mortis. -EFIS. organo. ¶ I. En korpo vivoza : grupo de elementi, koordinita tale ke exekutesas funciono specala. ¶ II. Anke pri mashino. ¶ III. (metaf.) To quo expresas la penso, la opiniono, la sentimenti di altru.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	409	25	416	korektita
organdio		Muslino apretizita. DEFIS.				409	32	416	sen-lingui
organicismo	filoz	Doktrino qua admisas la ideo ke vivo rezultas, ne de forco qua "anmizas" la organi, ma de la organi ipsa.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	409	34	416	korektita
organika		Qua relatas la enti organizita. - Kemio organika : qua studias la produkturi di la enti organizita. DEFIRS.				409	38	416	sen-lingui
organismo		I. Ensemblo de la organi ye qui konsistas ento vivoza. ¶ II. anke metaf.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	409	41	416	
organzino		Silko-filo qua pasis dufoye en la mashino qua tordas la silko kruda, e qua destinesas a formacar la warpo di stofo.		germana,angla,franca,italiana	DEFI	409	44	416	
orgeno	muziko	.Sufl-instrumento muzikala, ek tubi di dimen- sioni diversa, quan onu resonigas, mediace klavaro, per enduktar en olu la aero quan furnisas suflilo.		angla,franca,italiana,rusa,hispana	EFIRS	409	48	416	korektita
orgio		I. (en la epoki antiqua). Festo honorize di Bako (Bacchus). ¶ II. Krapulo pro troa manjo e troa drinko. DEFIRS.				409	52	416	sen-lingui,korektita
oriento		I. (literaturo) Punto di la horizonto de ube suno semblas levar su. ¶ II. Regiono di la terglobo, este di Europa (precipue Avan-Azia ed Egiptia). III. (framason- ismo). Granda Oriento : Quaza lojio centra, en la urbo precipua di lando, qua konsistas ye la reprezenteri di la lojii framasonala di la provinci.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	410	2	417	korektita
orifico		Aperturo qua formacas la enireyo di kavajo.		angla,franca,italiana,hispana	EFIS	410	9	417	
oriflamo		Mikra standardo di qua la parto qua fluktuas finas per du pinti.		germana,angla,franca,italiana,hispana	DEFIS	410	11	417	
origano	bot	Planto aromatoza, ek la familio "labiei", majorano sovaja.	origanum	germana,angla,franca,italiana,hispana	DEFIS	410	14	417	
origino		I. Departo-punto (loko, raso, e c.) di la nasko di individuo, familio, populo - di la formaco di ulo. ¶ II. Instanto di la nasko. ¶ III. (geom.) Punto de qua onu kontas la koordinati.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	410	17	417	korektita
orikalko	en la epoki antiqua	. Kompozuro metala, analoga a latuno.		germana,angla,franca,italiana,hispana	DEFIS	410	22	417	
oriolo	zool	Pasero di qua la plumaro esas flava.	oriolus	angla,franca	EF	410	25	417	korektita
oripelo		I. Filo o folio de latuno, polisita, qua, de fore, brilas quale oro, e de qua onu facas ornamenti. ¶ II. Folieto dina, oratra, quan onu uzas por oro-sembligar objekti diversa.		franca,italiana	FI	410	28	417	korektita
orjato		Siropo facita, olim, ek dekokturo de hordeo - e, nun, ek emulsuro de mandeli.		germana,angla,franca,italiana,hispana	DEFIS	410	33	417	
orkestro		I. (1) (en la epoki antiqua) . Parto di la teatro Greka avan e sub la ceneyo ("stejo) ube la koro stacis ed evolucionis. (2) Parto korespondanta di la teatro mo- derna, ube esas la muzikisti qui pleas muzikaji koncertala. ¶ II. Ensemblo de ta muzikisti.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	410	36	417	korektita
orkideo	bot	Un ek la familii de planti monokotiledona, bulboza, de qua la "orkis" esas la tipo. L. orchidea.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	410	42	417	korektita
orlar	trans	Facar la bordo di texuro, per rifaldo e suto, por impedar la destexeso.		franca,italiana,hispana	FIS	410	46	417	korektita
ornar	trans	Kovrar per vesti eleganta, per ulo qua plubeligas, per ornamenti. - Anke metaf.		angla,franca,italiana,hispana	EFIS	410	49	417	korektita
ornamento		Detalo adaptita ad ensemblo por igar lu plu bela.		germana,angla,franca,italiana,hispana	DEFIS	410	52	417	korektita,ordino-rompita
ornitologio		Historio naturala pri la ucelo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	411	2	418	korektita
ornitoptero		Papiliono belega, la maxim granda ek le jornala, qua vivas en la foresti humida, e flugas tre alte. - DEFIRS. orografio. Deskripto di la monti.DEFIRS.				411	4	418	sen-lingui,korektita
orpimento		Sulfido flava di arseno, uzata kom.farbo e por sen- piligar la feli. Formulo kemiala : As2 S3 . DEFIS.				411	9	418	sen-lingui,korektita
orselo	bot	Likeno qua kreskas precipue en Madagaskar- insulo, e donas bela farbo violea.	roccella tinctoria			411	12	418	sen-lingui,korektita
orta	geom	(pri angulo). Di qua la aperturo kontenas 90 gradi di la cirklo-kurvo.				411	15	418	sen-lingui,korektita
ortocentro	geom	Nomo di la konvergo-punto di la tri altesi di triangulo.				411	18	418	sen-lingui,korektita
ortodoxa	teol. kristana	. Konforma a la doktrino korekta. - (jokoze). Qua esas to quon lu devas esar.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	411	21	418	korektita
ortogenezo	biol	Vario spontana, pro kauzo interna, qua pulsas la organismi a punto determinita, sen la interveno da adapto.				411	24	418	sen-lingui,korektita
ortogono	geom	Qua formacas angulo orta - qua esas per- pendikla.				411	28	418	sen-lingui,korektita
ortografio	gram	Maniero skribar linguo korekte. Maniero skribar la vorti. - - DEFIRS. ortografika. (matem.) Qua reprezentas objekto sur plano,lua omna punti esante projektata perpendikle sur la plano.- DEFI. ortokrona. (fotogr.) (pri la plaki o filmi fotografala). Di qua la sentiveso pri la kolori diversa di la spektro igesis, per la ajunto di korpi kemiala, harmoniar kun la sentiveso di la hom-okulo. - ortolano. (zool.) Mikra ucelo migranta, qua vivas en Mezeuropa, ed en Sudeuropa, di qua la karno (manjebla) esas delikata. - DEFIS. ortopedio. La arto preventar o pokope supresar la deformuri di la korpo (precipue che la pueri), per aparato o kuracado. - DEFIRS. ortoptero. (zool.) Insekto qua havas quar ali, di qui la du infra esas faldita longeso-sinse. - DEFIS. ortoptika. (matem.) (pri kurvo) Loko geometriala di la punti de ube onu vidas kurvo plana donata ortangule.	emberiza hortulana			411	31	418	sen-lingui,korektita
orveto	zool	Mikra reptero sauria, ne-nociva, tipo di la familio "anguidi", qua vivas en Europa ed en Azia orientala.	anguis fragilis	angla,franca	EF	412	2	419	korektita
orvietano		Elektuario (varianto nenociva di teriako) quan onu judikis, en la mezo di la 17esma yarcento, kom tre apta e tre efikiva.		germana,angla,franca,italiana,hispana	DEFIS	412	6	419	korektita
-os	gram	Che la verbi : dezinenco di indikativo, futuro.				412	10	419	finalo-nekutima,sen-lingui,korektita,ordino-rompita
osifrago	zool	Speco di raptucelo jornala, ek la fami- lio "falkonidi", qua vivas en la nordo-regioni di Eu- ropa.	aquila ossifraga	angla,franca,italiana	EFI	412	13	419	korektita
oskular	trans	(geom.) Efektigar kontakto supra-klasa kun kurvo, surfaco, en un punto di altra kurvo, surfaco.				412	17	419	sen-lingui,korektita
osmio	kemio	. Korpo simpla, metala, quan onu renkontras en ula platin-erco. - Simbolo kemiala : Os.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	412	20	419	
osmoso		I. (biol. e kem.) Fenomeno qua konsistas ye la diplacesi qui eventas de ca a ta, ek du liquidi di qui la koncentreso-gradi interdiferas, tra parieto mi- permeebla.		germana,angla,franca,hispana	DEFS	412	23	419	korektita
osto		Parto harda e solida, ye qua konsistas la skeleto che la animali vertebroza di la klasi supra. EFIS.				412	28	419	sen-lingui,korektita
ostensorio	liturgio katol	Suportilo ek arjento, arjen- to orizita, oro, en qua onu expozas, a la adoro da la religiani, la hostio sakrigita.		germana,angla,franca,italiana	DEFI	412	31	419	korektita,ordino-rompita
ostentar	netrans., pri	Montrar afektacoze to quo esas apta flatar sua vanitato.		angla,franca,italiana,hispana	EFIS	412	35	419	
osteoblasto	biol	Celulo yuna, restinta e retroveninta a sua stando embrionala, quan onu vidas en la osto- medulo e la strato ostifera di periosto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	412	38	419	
osteologio		Parto di anatomio, qua traktas la osti. DEFIRS				412	42	419	sen-lingui,korektita
ostegomo	patol	Tumoro ek osto-tisuo. DE.				412	44	419	sen-lingui,ordino-rompita
ostito	patol	Inflamuro di la osto-tisuo.		germana,angla,franca	DEF	412	46	419	korektita
ostro	zool	Genero de moluski lamelo-brankia, tipo di la familio "ostreidi", ek cirkume cent speci qui vivas en la mari varma e mi-varma, e kinacent speci fosila en la strati sekundara e terciara.	ostrea edulis e gryphea angulata	germana,angla,franca,italiana,rusa,hispana	DEFIRS	412	48	419	korektita
ostracismo	en Grekia antiqua	Exilo, dek-yar-dura, di civi- tano qua divenis suspektata pro lua autoritato, lua povo, en la civito.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	413	2	420	korektita,ordino-rompita
ostrogoto		Persono qua ne konformigas sua konduto a la kustumi, a la deci, qui regnas en la medio en qua lu vivas.				413	6	420	sen-lingui
-ot-	gram	Verbo-dezinenco di la participo di futureso, pasiva,				413	9	420	finalo-nekutima,sen-lingui,korektita,ordino-rompita
otalgio	patol	Nevralgio di la orelo.				413	12	420	sen-lingui,korektita
otario	zool	Speco di mar-hundo di qua la oreli salias.	otaria. EFI			413	14	420	sen-lingui,korektita
otito	patol	Inflamuro di la orelo.				413	17	420	sen-lingui
otolito	biol	Konkreciono tre mikra, kalkoza, qua existas en la aud-organaro di animali diversa.				413	19	420	sen-lingui,korektita
otomano		Granda sidilo, sen dors-apogilo, sur qua onu povas repozar segun la posturo di la Orientani.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	413	22	420	korektita
otuso	zool	Raptucelo noktala.	otus. L			413	25	420	sen-lingui
ovo		I. Maso globatra, quan pondas la ucelino, jermo di la ucelo futura, cirkondata do liquidi destinata nutror lu dum kelka tempo, ed envelopata da shelo kalkoza. ¶ II. Jermo-ovulo che la animali vivipara qua, pos fekundigeso e developeso, pasas de la ovario aden la utero. III. To quo havas la formo di ovo. ¶ IV. (tekn.) Ornamento di arkitekturo, di juveli, e c. qua havas la formo di ovo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	413	27	420	korektita
ovacionar	trans	I. (en Roma, antique). Ceremonio, min so- lena kam triumfo, dum qua onu imolis mutonino, e la generalo vinkinta avancis kavalkante sur kavalo. ¶ II. Honoro agita a personego da la procesionani, eskortani.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	413	35	420	korektita,ordino-rompita
ovario		I. (zool.) Organo di la femino, qua kontenas la ovuli destinita produktar la feto, che la vivipari - la ovo, che la ovipari. - II.(bot.) Parto di la pistilo, qua kontenas la ovuli destinita produktar la semini.		germana,angla,franca,italiana,hispana	DEFIS	413	40	420	korektita
ovipara		Qua produktas e fekundigas ovi de qui ekiros la yuni. DEFIS.				413	45	420	sen-lingui,korektita
ovogonio	biol	Celuli qui rezultas de la genito di la elementi jerma di la ovisako. - ovoida. Di qua la formo aspektas quale ovo.				413	48	420	sen-lingui,korektita
ovulo		I. (zool.) Produkturo de la ovario, qua, pos fekindigeso, divenas la feto che la vivipari - e la ovo, che la ovipari. ¶ II. (bot.) Produkturo de la ovario qua, pos fekundigeso, di- venos la semino.		angla,franca,italiana,hispana	EFIS	413	53	420	korektita
pacar	netrans	I. Ne militar. ¶ II. (pri lando, familio, gru- po de homi). Esar en stando tala, ke ne eventas perturbesi interna - ke ne eventas deskonkordo violentoza.		germana,angla,franca,italiana,hispana	DEFIS	415	12	422	korektita
pachulio	bot	Planto labioza aromatoza, qua devenas de India, vicina (kom tipo) ye la minti. L. pogostemon patchouli. ¶ II. La parfumo extraktita de ta planto.		germana,angla,franca,italiana,hispana	DEFIS	415	16	422	korektita
pacienta		Qua toleras la malaji, la varto di to quo esas +retarda (tarda), la duro di to quo plulongeskas tempale.		angla,franca,italiana,hispana	EFIS	415	20	422	korektita
pado		Kuseno plenigita ye buro. E.				415	23	422	sen-lingui,korektita
padelo		Implemento koqueyala, kun longa mancho, per qua onu fri- tas, frikasas, e c.		italiana,hispana	IS	415	25	422	korektita,ordino-rompita
padloko		Seruro movebla, quan onu akrochas per okulskrubi a pordo, a kesteto juvelala, por klozar olu.		angla	E	415	28	422	
paf		! Interjeciono qua expresas frapo, stroko od acidento su- nita.				415	31	422	finalo-nekutima,sen-lingui,korektita
pafar	netrans	Deskuplar la hano di fusilo, revolvero, kanono				415	34	422	sen-lingui
pagar	ulu, ye ulo	. Quitigar su (ad ulu) pri to quon onu debas a lu. - (ulo, ad ulu). Livrar (ad ulu) to quon onu debas a lu (po ulo).		angla,franca,italiana,hispana	EFIS	415	36	422	
pagano		Qua adoras e kultas la dei quin la kristani qualifikas "falsa".		germana,angla,franca,italiana,hispana	DEFIS	415	40	422	korektita,ordino-rompita
pagayo	navig	Longa remilo pirogala, kun paleto simpla o duopla, quan onu uzas sen apogar lu sur la barko.		germana,franca,italiana,hispana	DFIS	415	43	422	korektita
pagino		Singla ek la du lateri di folio sur qua onu skribas od imprimas.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	415	46	422	korektita
pagodo		I. Templo konsakrita a la kulto di la idoli, en Azia, ¶ II. Statueto Chiniana, figureto di etajero.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	415	49	422	
pajo		I. Puerulo qua servas princulo, princino, e c. ¶ II. (Ludo- karti) Figuro di qua la rango-valoro esas situita dop la rejulo e la damo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	415	52	422	
pako		Asemblajo ek plura kozi, interligita, envolvita ad-ensemble DEFIRS.				415	56	422	sen-lingui,korektita
paketboto	navig	Navo extreme kapaca, movata per aquo-vaporo, petrolo(e mem per atom-forco) qua trans- portas, trans la oceani, pasajanti, vari, postalaji, e c. DEFIRS.				416	2	423	sen-lingui,korektita,ordino-rompita
pakidermo	zool	Klaso de mamiferi ne-ruminera, di qui la pelo esas tre dika (elefanto, rinoceroso, e c.)		germana,angla,franca,italiana,hispana	DEFIS	416	7	423	
pakotilio		I.Vari ne-grava quin la maristi di navo darfas kunportar por komercor, sen pagar freto-preco. ¶ II. Sortaro de vari destinita a kambieso, a komerco, en la landi fora.		germana,franca,italiana,hispana	DFIS	416	11	423	korektita
paktar	netrans., kun	. Agar konvenciono solena.		germana,angla,franca,italiana,hispana	DEFIS	416	16	423	korektita
pala		I. (aludante la vizajo). Senkolora, terne blanka. ¶ II. Qua esas poke lumoza, poke koloroza.		angla,franca,italiana,hispana	EFIS	416	18	423	korektita
palaco		Habiteyo luxoza di rejo, di princo. Domp splen- dida di richa privato.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	416	21	423	korektita
palado	kemio	. Metalo blanka, tre maleebla, poke gi- sebla. - Simbolo kemiala : Pd.				416	24	423	sen-lingui
paladio	en la epoki antiqua	. Statuo de Pallas, e gardita da la Troyani kom salvanto di lia urbo. ¶ II. To quon populo egardas kom sekuriganta sua salveso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	416	27	423	ordino-rompita
paladino		Heroo di la +chevalier-epoko. - Anke metaf. DEFIRS.				416	32	423	sen-lingui,korektita,ordino-rompita
palankino		En India, Chinia (ante Mao Tze Tung), e c., porto-lito quan servisti portas de sua shultro. (Anke en la Egiptia faraonala).		germana,angla,franca,italiana,hispana	DEFIS	416	35	423	
palato	anat	Parto supra di la boko-kavajo.		angla,franca,italiana,hispana	EFIS	416	39	423	
