page	ligne	col	lu	corrige	vedette lue	vedette retenue	precedente	suivante
282	26	1	a	e	larlo	kerlo	keratino	kmrseso
286	13	1	i	l	kiepsidro	klepsidro	klementa	kleriko
286	22	1	i	l	kiiento	kliento	klerko	liifo
288	17	1	l	i	klozar	kiozar	kiovo	kiubo
288	23	1	i	l	kiubo	klubo	klozar	llukar
288	28	0	l	k	llukar	klukar	kiubo	koadjutoro
290	31	0	l	k	loko	knko	kmitar	kokao
290	31	1	o	n	loko	knko	kmitar	kokao
291	38	5	o	c	kolego	kolegc	koldkremo	kolegic
303	2	4	o	c	konio	konic	kongragaciono	konidio
304	34	1	m	o	kmnkreta	konkreta	konkordato	konkubo
304	36	1	o	n	konkubo	knnkubo	kmnkreta	konkubinato
310	16	2	n	r	konvektar	korvektar	korvalecar	korvenar
312	42	4	o	c	kordo	kordc	korbelo	kordio
313	8	4	o	c	koreo	korec	kordono	koregono
314	7	2	m	u	kmmko	kmuko	kmrizo	korsorano
316	46	4	o	c	kosmoso	kosmcso	korveto	kosmetiko
317	21	3	o	c	koto	kotc	kostumo	koteno
318	6	0	k	l	kmvrar	lmvrar	kotono	loxalgio
318	13	0	l	k	loxalgio	koxalgio	kmvrar	kozo
318	41	4	p	n	krampo	kramno	kraknelo	kramnono
318	59	2	s	a	krsee	krase	krapular	kratego
318	59	3	e	s	krsee	krase	krapular	kratego
322	10	1	y	r	kyino	krino	kriketo	krinolino
326	44	3	o	c	kubo	kubc	kuafar	kubebo
329	20	4	o	a	kuplor	kuplar	kuperoso	kupleto
330	18	0	l	k	lmrear	kmrear	kmrbaturar	kmretar
330	48	4	o	E	kurso	kurse	kurlic	kursiva
332	5	1	u	o	kutino	kotino	kmtikulo	kupro
334	5	3	e	s	lacerar	lacsrar	laco	laeerto
334	18	3	a	s	ladano	ladsno	ladc	lago
334	36	3	c	o	lakcnika	lakonika	lakeo	lakriso
335	52	3	o	c	lano	lanc	lampredo	lanccoa
336	40	3	a	s	lanaar	lansar	lanjo	lantano
338	6	1	e	a	leskaro	laskaro	lasbo	lasta
339	7	4	o	c	lauro	laurc	laudano	laureatc
340	45	5	o	c	legumo	legumc	legitima	leguminoso
346	14	3	o	n	limono	limnno	limito	limonado
346	20	2	s	m	lispida	limpida	limonado	lino
356	42	3	a	z	saiao	saizo	saiflorc	sajorano
359	23	3	o	c	mamo	mamc	malyoto	mamilo
361	13	4	o	c	manio	manic	manglo	maniero
362	38	0	m	s	manuo	sanuc	santisc	sanufakturo
362	38	4	o	c	manuo	sanuc	santisc	sanufakturo
364	22	1	m	a	smrjino	sarjino	sarionetc	sarko
370	41	1	m	e	smkaniko	sekaniko	sejisar	smkahismo
371	9	0	s	m	seleo	meleo	melaso	melinito
371	12	0	m	s	melinito	selinito	seleo	seliso
372	31	1	e	m	sendikar	smndikar	smncicnar	smnhiro
373	22	0	s	m	senueto	menusto	menuo	menuzar
373	22	4	e	s	senueto	menusto	menuo	menuzar
373	43	5	o	c	merino	merinc	meridiano	meringo
374	31	1	m	e	smromorfa	seromorfa	serogonio	smrctomio
377	4	4	o	8	metro	metr8	metopo	metriko
378	33	0	s	g	sieno	gieno	gielato	gisreno
385	2	3	o	c	modo	modc	mistiko	modelo
391	13	3	o	c	moso	mosc	morvo	moskardino
391	19	4	o	c	mosko	moskc	moskardino	moskeo
392	8	0	s	m	suar	muar	mozaiko	muaro
392	28	3	o	e	sufo	sufe	smeko	suflo
396	40	1	m	a	nmkarato	nakarato	naivo	naktigalo
396	50	3	o	c	nano	nanc	nam	nankino
398	55	6	o	c	nektaro	nektarc	nekromanciar	nektario
403	42	1	c	o	ncrdo	nordo	nopalo	norio
405	35	4	r	p	numero	numepo	nula	numeratoro
405	52	0	o	n	oun	nun	numulito	nuncio
408	52	0	c	o	cbstruktar	obstruktar	obstaklo	obtenar
409	15	0	c	o	cceano	oceano	obuso	ooiar
412	39	3	o	a	omno	omna	cmleto	omnibuso
415	37	3	h	n	orahjo	oranjo	orangutano	oratoro
415	54	3	e	s	ordeno	ordsno	ordo	oudinar
422	31	1	m	a	pmf	paf	padloko	pafar
422	43	1	e	a	pegayc	pagayc	pagano	paginc
423	21	4	o	c	palaoo	palaco	pala	palado
424	24	1	m	s	pmlisado	pslisado	pmliso	pslisandro
424	42	4	o	c	palmo	palmc	paliumo	palmeto
428	10	5	o	c	parafo	parafc	paradoxo	parafino
429	34	6	o	c	parento	parentc	parenkimo	parentezo
432	36	4	o	c	pasto	pastc	pasportc	pastelo
434	11	4	o	c	patro	patrc	patologio	patrio
437	18	3	t	i	peltkulo	pelikulo	pelikano	peliso
441	25	5	o	c	perono	peronc	permutar	peroneo
441	32	1	a	e	paronosporo	peronosporo	peroneo	persraiiouo
