page	ligne	col	lu	corrige	vedette lue	vedette retenue
146	6	1	r	n	ertuziasmar	entuziasmar
146	27	3	i	l	envidiar	envldiar
146	40	1	c	o	ecsimo	eosimo
147	11	3	o	c	epioena	epicena
148	11	1	r	m	erigraso	emigraso
148	33	0	e	o	epistemologio	opistemologio
148	35	0	e	o	epistolo	opistolo
150	5	0	e	s	eeoiseto	seoiseto
150	8	0	e	s	equitato	squitato
150	11	0	e	a	ecuivalar	acuivalar
150	26	0	s	e	srektar	erektar
150	32	5	o	c	ergoto	ergotc
151	37	3	m	s	esamo	esaso
152	28	3	s	a	eskspar	eskaoar
152	28	4	p	o	eskspar	eskaoar
152	31	4	r	o	eskaro	eskaoo
154	19	1	m	s	empreso	espreso
154	22	1	d	s	edprito	esprito
154	55	1	e	s	eetanchar	estanchar
155	23	4	o	a	estrogono	estragono
155	42	4	o	c	etajo	etajc
156	14	3	r	n	etero	eteno
156	24	4	o	c	etiko	etikc
156	38	3	c	o	eticlogio	etiologio
156	41	0	a	e	atsoido	etmoido
156	41	2	s	m	atsoido	etmoido
158	3	2	c	o	evclucionar	evolucionar
158	13	0	s	e	smajerar	emajerar
158	32	2	s	d	dxssperar	dxdsperar
159	13	3	m	s	exemplero	exesplero
160	10	0	e	s	esklusar	ssklusar
160	14	0	e	a	exkomunikar	axkomunikar
160	33	0	e	s	exogena	sxogena
160	36	0	s	e	smorcisar	emorcisar
160	47	1	s	x	esotera	exotera
161	20	1	s	x	esperiencar	experiencar
161	47	2	n	r	exnlemagu	exrlemagu
161	52	1	x	s	expuotar	espuotar
162	10	0	e	s	emtazar	smtazar
165	7	4	o	e	fakto	fakte
165	14	6	o	c	faktoro	faktorc
165	21	7	a	s	faktorialo	faktorislo
165	41	4	n	h	falango	falahgo
168	17	0	f	(	farmar	(armar
168	25	1	e	a	fersc	farsc
168	36	3	h	b	fashino	fasbino
169	2	3	o	c	fato	fatc
169	11	3	o	c	fauoo	fauco
169	24	3	o	c	fayo	fayc
169	28	3	o	c	fazo	fazc
169	33	3	a	e	fazano	fazeno
171	14	3	o	c	fero	ferc
171	29	4	e	a	fermento	fermanto
172	5	3	o	b	feto	fetb
173	37	3	a	s	fikario	fiksrio
174	7	5	i	t	filetika	filettka
174	49	7	o	e	filozofo	filozofe
175	2	1	l	I	fluar	fInar
175	2	2	u	n	fluar	fInar
175	6	3	a	e	finanoo	finenoo
175	32	3	m	a	firmo	firao
176	7	0	f	p	fizcgnomonio	pizcgnomonio
176	10	0	f	p	flzickratio	plzickratio
176	13	0	f	p	flziclcgio	plziclcgio
176	32	2	s	a	flsjcleto	flajcleto
178	11	4	o	c	floro	florc
179	3	3	u	n	fluuiro	fluniro
