# Sosies corriges par le lexique du livre (passe unique, criteres severes).
# Une seconde passe sur le texte deja corrige a ete essayee : elle degrade
# (99,23/99,50 -> 99,14/99,41). Le lexique s'appauvrit a mesure qu'on le
# corrige, et les formes rares deviennent des cibles. Une passe, pas deux.
292	19	18	o
292	42	36	o
293	4	55	a
293	32	3	f
293	34	8	o
293	54	10	l
295	7	23	a
295	11	6	a
296	24	53	o
298	41	35	v
298	52	1	o
299	21	24	a
299	37	42	o
299	37	48	o
299	38	37	a
300	8	36	o
301	9	47	o
301	23	27	c
301	31	3	t
301	34	4	l
301	45	50	a
302	41	5	y
303	13	17	t
303	22	13	o
303	33	58	o
303	49	15	l
303	54	46	l
304	49	36	u
305	13	24	l
306	6	10	m
306	39	8	l
306	45	28	m
306	45	43	a
306	46	35	i
308	53	18	t
309	6	58	o
309	31	41	c
310	10	12	h
310	29	5	a
310	54	28	a
310	55	3	p
310	57	38	l
311	20	6	s
312	50	27	a
312	54	5	z
313	3	15	p
313	11	13	o
314	8	32	c
314	35	16	c
314	38	15	m
315	10	5	c
315	26	39	o
315	28	39	i
315	43	4	a
316	3	58	c
316	11	33	o
316	27	5	c
316	36	38	i
317	28	3	o
317	32	22	l
317	44	36	o
317	56	50	a
318	47	2	o
318	60	24	j
319	17	51	o
320	15	58	n
320	20	6	o
320	27	12	o
321	22	3	l
321	33	49	I
321	39	6	t
323	34	4	u
323	37	44	m
323	49	4	l
324	59	8	o
325	33	21	s
325	39	40	o
326	30	14	o
326	42	9	o
327	9	3	t
327	51	0	o
329	12	54	a
329	15	21	o
329	24	3	t
329	41	22	o
329	43	9	e
329	54	54	o
330	31	25	o
330	31	33	o
331	31	5	i
331	50	38	c
332	16	2	p
332	27	1	a
333	19	3	o
333	53	39	j
334	28	1	o
334	29	27	c
335	11	14	o
335	33	3	l
335	34	51	o
336	24	13	o
336	38	21	o
337	3	8	c
337	26	6	o
338	7	4	l
338	13	64	o
338	30	13	l
338	34	63	o
339	18	2	n
339	29	5	v
339	29	32	p
340	39	30	c
341	5	56	u
341	9	0	t
342	9	2	t
343	26	29	i
343	34	18	I
343	49	53	o
344	37	21	e
345	40	31	o
346	8	13	i
346	26	3	e
346	54	3	o
347	13	8	o
348	8	22	s
348	51	13	s
350	6	1	e
350	17	3	I
350	29	24	s
350	41	62	c
350	46	58	a
351	34	45	c
351	36	14	o
351	51	25	t
352	34	33	a
353	28	2	m
354	18	28	o
354	36	15	c
356	12	20	a
356	42	36	a
356	46	23	i
357	7	41	r
357	38	4	e
357	38	14	e
359	23	32	o
359	42	3	u
360	53	1	o
361	4	44	o
361	13	3	j
361	32	40	o
361	33	6	o
361	33	58	o
361	38	32	c
361	54	9	l
362	3	19	o
362	8	14	i
362	9	44	n
362	29	11	i
364	25	24	o
364	43	40	a
365	8	8	t
366	12	5	l
366	43	41	o
366	50	52	l
367	35	31	o
368	20	61	o
368	48	2	s
369	20	7	o
369	43	20	o
370	39	39	o
370	57	61	a
371	2	46	o
371	3	7	o
371	9	41	o
371	20	3	l
371	38	11	n
371	38	49	o
372	56	35	o
373	47	6	a
374	45	23	o
375	21	7	e
376	55	11	a
377	1	6	o
377	51	5	i
378	42	22	c
379	7	4	a
379	10	7	s
379	22	40	i
379	29	58	o
379	33	49	o
379	40	12	l
380	28	55	o
381	47	56	o
382	19	29	i
382	22	24	i
382	24	18	i
382	30	9	a
382	49	62	y
383	21	52	i
383	32	5	a
383	35	40	o
385	3	3	l
385	12	3	p
385	44	21	s
385	48	55	u
386	19	18	a
386	31	11	l
386	35	17	t
386	40	58	o
386	42	11	h
387	14	11	e
387	53	13	o
388	13	10	a
388	53	41	o
389	17	52	o
389	27	17	i
389	47	9	e
390	18	11	l
390	22	53	i
390	46	67	o
391	7	10	l
391	10	12	o
391	35	53	l
392	6	13	e
392	8	34	c
392	9	35	o
392	10	61	c
392	43	61	o
393	9	55	n
393	33	13	e
393	36	11	u
393	49	1	a
394	15	16	i
395	14	35	u
395	26	21	o
395	29	19	e
396	28	50	a
396	38	59	S
397	11	1	o
397	21	0	m
397	26	3	u
397	29	1	u
397	30	3	c
397	30	11	m
397	30	23	o
397	51	12	o
398	22	14	a
398	23	22	a
399	11	56	a
399	20	21	o
399	27	8	l
399	50	18	t
400	8	0	v
400	21	5	l
402	5	9	i
403	5	46	o
403	55	17	s
404	5	26	l
404	50	12	g
405	39	9	s
407	27	48	o
407	56	5	y
408	7	18	o
408	12	16	l
408	54	4	e
408	54	17	s
412	18	0	o
412	25	42	c
412	48	64	o
413	52	10	l
414	37	19	s
415	3	14	o
415	30	3	p
416	14	36	o
416	52	14	s
416	55	51	s
417	6	6	c
419	29	3	c
419	32	45	o
419	48	0	a
420	14	11	a
420	29	29	e
420	43	20	a
420	45	29	a
421	31	27	o
422	20	37	o
422	31	57	e
422	40	12	o
423	11	30	n
423	12	39	o
423	54	54	j
425	46	19	o
425	54	4	e
426	46	51	o
427	41	1	o
427	59	9	l
428	9	44	o
429	5	18	c
431	14	21	o
431	22	52	o
433	23	35	a
433	25	16	t
433	33	55	c
433	36	2	p
434	20	23	h
434	43	13	c
434	44	63	o
435	2	30	o
435	21	2	s
436	30	14	s
437	27	45	o
437	56	14	s
439	12	0	t
439	33	7	e
440	53	7	s
440	57	5	f
441	2	42	o
441	20	8	a
441	51	5	l
442	5	57	a
442	41	64	a
442	50	7	i
443	5	1	o
443	28	4	o
443	44	5	n
443	46	52	a
443	47	15	e
443	49	25	o
443	52	1	o
444	49	23	o
445	9	6	a
445	16	4	o
445	25	6	e
445	31	24	c
446	4	11	o
446	20	5	l
447	6	8	o
448	13	62	o
448	33	62	a
449	42	18	i
450	52	4	l
451	52	4	c
453	18	11	l
453	22	15	i
453	39	27	o
453	41	13	o
453	53	23	o
456	27	14	o
457	3	3	a
457	45	4	a
457	56	20	c
459	42	1	a
460	6	30	o
460	14	13	c
460	19	2	v
460	40	4	o
460	56	62	o
460	57	6	o
460	57	24	f
461	8	4	u
461	12	5	p
461	56	4	d
462	30	0	t
462	39	23	n
464	27	38	c
467	18	26	o
467	40	4	a
468	28	64	s
468	32	44	o
469	3	47	o
469	47	16	i
470	22	63	a
471	41	20	a
471	41	28	a
471	52	2	e
472	18	9	n
472	32	7	o
472	59	6	o
473	6	51	a
473	18	54	a
473	29	14	o
473	46	48	c
474	8	56	c
474	48	11	a
475	23	3	t
475	40	35	a
477	23	51	l
478	7	6	c
478	14	54	l
478	26	33	z
478	26	61	o
478	27	11	o
478	56	60	o
480	22	34	c
481	58	8	z
483	18	3	o
483	43	10	e
483	52	55	p
484	8	53	l
484	36	4	e
484	58	11	s
485	35	49	o
486	18	59	n
487	23	31	o
487	47	5	l
487	49	59	c
488	3	7	l
488	27	4	o
488	28	38	o
489	5	53	o
489	24	36	o
490	11	59	n
490	14	35	t
490	16	1	o
490	18	7	a
