# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
37	26	0-10
37	31	0-5,13-17
37	33	10-37
37	36	0-5,9-12
37	39	0-8,13-16
37	42	0-9,13-15
37	45	0-5,9-12
37	48	0-4
37	51	0-8,12-18
37	54	0-7
38	4	0-11,15-25
38	7	0-7,11-24
38	11	0-8
38	14	0-8,13-17
38	17	0-8
38	19	0-7,12-15
38	21	8-15
38	23	0-8,13-18
38	27	0-8
38	30	0-9,14-19
38	33	0-9
38	36	0-7
38	40	0-6
38	45	0-10,14-19
38	48	0-7
38	51	0-9
38	53	0-8
38	55	0-7
39	3	0-10
39	8	0-8,12-20
39	11	0-6,10-15
39	14	0-9
39	17	0-11
39	20	0-13
39	24	0-11
39	27	0-6,10-19
39	30	0-4,8-11
39	33	0-5,10-32
39	36	0-6,10-13
39	40	0-4,8-11
39	44	0-6,10-14
39	47	0-6
39	51	0-5
39	53	0-6
40	5	0-5
40	8	0-10
40	11	0-7,11-17,53-63
40	14	0-5
40	17	0-5,10-34
40	21	0-7
40	23	0-9,13-18
40	26	0-4
40	28	0-9,13-17,21-25
40	33	0-6,10-19
40	36	0-7,11-15,61-64
40	37	3-7
40	39	0-6
40	41	0-4,6-15
40	42	28-32
40	44	0-7,11-14
40	45	32-45
40	47	0-9,13-16
40	49	0-7,11-16
40	51	0-7,11-15
40	52	57-61
40	57	0-7,11-15
41	2	0-6,10-20
41	5	4-8
41	8	0-6
41	10	47-51
41	13	0-9,13-17
41	16	0-6,10-14
41	18	0-5,9-27
41	22	0-5,9-15
41	25	0-9,13-19
41	29	0-7,11-17
41	30	8-16
41	33	0-9,14-21
41	38	0-7
41	42	0-8,12-16
41	44	0-9,13-17
41	48	0-8,12-17
41	51	0-7,11-18
41	54	0-13
42	3	0-7
42	5	0-7,11-23
42	9	0-8,16-19
42	10	22-29
42	15	0-6
42	18	0-6,10-13
42	22	0-7
42	25	0-9,14-17
42	28	0-3,8-11
42	30	6-9
42	32	0-8,12-14
42	34	0-6,10-15,19-23
42	38	0-6
42	40	0-8
42	42	0-6,11-16
42	45	0-6,10-20
42	48	0-8,12-17,21-25
42	51	0-5,12-17
42	53	10-15
43	2	0-3
43	5	0-3
43	7	0-6,10-41
43	10	0-3,7-11
43	13	0-8
43	16	0-9
43	19	0-7
43	22	0-6
43	25	0-8
43	27	0-8
43	30	0-8,13-15,45-53
43	32	0-7,36-46
43	35	0-6,11-15,20-26
43	38	0-4
43	42	0-2
43	45	0-7
43	48	0-6,11-24
43	49	28-38
43	51	0-4
43	54	0-8,12-17
44	2	0-5,9-13
44	3	49-54
44	6	0-6,10-15
44	10	0-7
44	13	0-7,11-16,20-60
44	14	3-60
44	15	3-10
44	17	0-9,13-25,30-36
44	23	0-7
44	25	0-5,12-16
