# Toutes les cellules dont la lecture a ete modifiee par rapport au decodage brut.
# image	ligne	colonne	lu	retenu	origine
547	40	23	c	o	automatique
548	6	34	l	i	automatique
548	9	27	I	T	automatique
548	10	30	L	l	automatique
548	13	7	s	o	automatique
548	16	10	a	l	automatique
548	51	29	s	m	automatique
549	14	33	c	o	automatique
549	18	0	a	s	automatique
549	21	0	a	s	automatique
550	25	64	c	o	automatique
550	26	49	A	a	automatique
550	33	4	c	o	automatique
550	38	4	c	o	automatique
551	2	0	a	s	automatique
551	2	55	f	T	automatique
551	2	58	e	a	automatique
551	35	9	V	v	automatique
551	45	3	g	s	automatique
552	8	12	e	o	automatique
552	19	5	c	o	automatique
553	23	0	a	s	automatique
553	39	0	o	s	automatique
553	52	0	a	s	automatique
554	5	5	c	o	automatique
554	19	6	c	o	automatique
554	22	26	a	L	automatique
554	35	6	c	o	automatique
554	41	44	r	p	automatique
554	50	4	c	o	automatique
555	16	0	a	s	automatique
555	47	0	g	s	automatique
555	47	5	E	o	automatique
555	54	5	o	u	automatique
555	54	6	r	p	automatique
556	56	8	u	e	automatique
557	27	55	x	s	automatique
558	15	6	c	o	automatique
558	15	9	L	l	automatique
558	18	6	c	o	automatique
558	21	7	E	o	automatique
558	35	22	u	o	automatique
558	35	23	n	m	automatique
558	40	35	o	p	automatique
558	40	37	c	o	automatique
558	48	5	c	o	automatique
559	12	16	s	m	automatique
559	22	7	F	V	automatique
559	41	28	s	x	automatique
560	2	0	g	s	automatique
560	32	3	h	b	automatique
560	33	51	a	K	automatique
561	31	18	l	Q	automatique
561	50	14	o	n	automatique
562	43	15	R	S	automatique
563	9	4	c	o	automatique
563	41	56	g	s	automatique
563	41	58	o	n	automatique
563	48	26	l	i	automatique
564	49	6	o	u	automatique
565	3	20	V	v	automatique
565	4	38	g	o	automatique
565	15	9	s	m	automatique
565	19	2	b	o	automatique
565	33	7	c	o	automatique
565	36	47	d	m	automatique
565	40	6	s	o	automatique
565	44	8	E	i	automatique
565	53	13	s	a	automatique
566	7	0	d	s	automatique
566	19	0	g	s	automatique
566	46	12	e	m	automatique
567	17	3	c	o	automatique
567	36	4	I	T	automatique
567	55	23	c	o	automatique
568	5	12	E	m	automatique
568	7	4	I	r	automatique
569	12	12	x	k	automatique
569	55	38	p	t	automatique
570	6	24	A	z	automatique
570	43	0	a	s	automatique
570	49	39	c	o	automatique
570	55	15	e	o	automatique
571	8	2	s	a	automatique
572	7	5	c	o	automatique
572	7	9	o	n	automatique
572	14	5	c	o	automatique
572	58	4	f	I	automatique
573	11	4	I	r	automatique
573	19	3	c	o	automatique
573	31	34	I	T	automatique
573	47	44	l	i	automatique
574	12	6	c	o	automatique
574	12	9	V	v	automatique
574	31	24	R	E	automatique
574	31	25	g	s	automatique
574	44	5	c	o	automatique
574	54	8	c	o	automatique
574	59	5	c	o	automatique
575	12	22	D	O	automatique
575	40	20	R	N	automatique
575	47	12	o	u	automatique
575	53	7	l	I	automatique
576	16	7	c	o	automatique
576	28	55	p	t	automatique
576	35	15	h	n	automatique
576	53	4	c	o	automatique
576	59	8	a	L	automatique
576	60	14	s	z	automatique
578	12	6	c	o	automatique
578	15	11	c	o	automatique
578	30	36	a	L	automatique
578	35	7	o	c	automatique
579	7	38	d	i	automatique
579	38	31	s	x	automatique
580	46	18	I	T	automatique
580	56	5	s	a	automatique
581	4	3	r	s	automatique
581	4	4	e	a	automatique
581	24	5	s	a	automatique
582	16	21	F	P	automatique
582	16	22	o	e	automatique
582	16	23	o	c	automatique
582	48	8	c	o	automatique
583	35	21	c	o	automatique
583	52	1	e	o	automatique
583	52	3	c	s	automatique
584	0	56	S	o	automatique
584	0	58	v	o	automatique
584	23	6	c	o	automatique
584	37	6	c	o	automatique
584	37	12	E	B	automatique
584	53	30	f	r	automatique
584	53	32	p	n	automatique
584	54	53	g	a	automatique
586	6	41	R	N	automatique
587	8	1	e	a	automatique
587	8	2	s	a	automatique
587	13	12	n	h	automatique
587	17	4	c	o	automatique
587	23	6	c	o	automatique
587	27	27	o	n	automatique
587	27	28	l	i	automatique
587	30	22	l	I	automatique
587	37	56	l	i	automatique
587	45	2	l	i	automatique
587	46	38	K	k	automatique
587	52	45	o	c	automatique
588	20	23	P	p	automatique
588	29	16	n	o	automatique
588	29	17	g	o	automatique
588	35	10	r	P	automatique
589	9	3	o	D	automatique
589	16	26	s	m	automatique
589	25	41	s	m	automatique
589	52	9	s	a	automatique
590	15	11	o	r	automatique
590	32	5	c	o	automatique
590	40	32	e	a	automatique
590	40	34	u	o	automatique
591	27	53	A	a	automatique
591	55	2	p	n	automatique
591	56	23	a	e	automatique
593	11	9	c	o	automatique
593	15	44	s	m	automatique
593	21	14	a	M	automatique
593	23	30	p	t	automatique
593	49	57	z	c	automatique
594	0	8	c	o	automatique
595	9	11	c	o	automatique
595	9	34	m	e	automatique
595	32	27	c	e	automatique
595	33	15	i	l	automatique
595	33	58	z	s	automatique
595	34	3	f	r	automatique
595	34	5	g	s	automatique
595	48	51	s	m	automatique
596	13	45	n	m	automatique
596	13	47	n	m	automatique
596	38	3	b	h	automatique
596	48	4	s	o	automatique
596	54	20	o	u	automatique
597	7	39	k	x	automatique
597	17	55	g	s	automatique
597	26	31	c	o	automatique
597	36	24	e	v	automatique
597	52	14	D	n	automatique
598	18	57	c	e	automatique
598	28	37	p	n	automatique
598	44	60	s	m	automatique
598	55	15	u	a	automatique
599	7	17	A	a	automatique
599	51	25	o	n	automatique
600	9	13	c	o	automatique
600	23	3	v	e	automatique
600	46	6	c	o	automatique
600	55	31	e	s	automatique
600	55	35	a	e	automatique
601	2	51	e	a	automatique
601	17	39	s	m	automatique
602	6	8	o	n	automatique
602	22	7	c	o	automatique
602	33	29	R	N	automatique
602	42	14	l	i	automatique
603	2	8	c	o	automatique
603	9	50	e	a	automatique
603	52	8	K	k	automatique
605	24	21	S	E	automatique
605	35	5	o	n	automatique
605	59	3	e	o	automatique
606	31	54	c	o	automatique
606	38	4	c	o	automatique
606	50	5	c	o	automatique
607	4	4	e	s	automatique
607	4	5	e	o	automatique
607	14	5	c	o	automatique
607	24	6	V	v	automatique
607	27	7	k	Q	automatique
608	6	14	o	c	automatique
608	38	3	c	o	automatique
609	14	14	o	n	automatique
609	21	12	p	t	automatique
609	31	5	c	o	automatique
610	3	0	o	u	automatique
610	19	0	n	u	automatique
610	41	7	i	l	automatique
610	54	4	n	u	automatique
610	54	5	m	a	automatique
611	5	14	f	T	automatique
612	2	1	r	s	automatique
612	2	4	c	o	automatique
612	6	25	b	o	automatique
612	24	10	P	o	automatique
612	24	14	F	V	automatique
612	37	18	b	o	automatique
612	46	37	b	p	automatique
612	54	0	o	u	automatique
613	27	29	i	l	automatique
613	33	15	s	a	automatique
614	20	6	q	o	automatique
614	39	13	r	n	automatique
614	54	6	c	o	automatique
614	55	3	s	m	automatique
614	55	4	m	u	automatique
614	57	0	v	s	automatique
614	57	3	c	o	automatique
616	7	60	v	e	automatique
616	14	7	c	o	automatique
616	19	56	l	i	automatique
616	20	14	o	c	automatique
616	25	6	c	o	automatique
617	8	30	e	a	automatique
617	9	10	t	h	automatique
617	15	6	K	k	automatique
617	38	4	E	M	automatique
617	38	9	g	S	automatique
617	56	6	e	v	automatique
618	0	57	l	i	automatique
618	0	58	l	i	automatique
618	14	0	v	P	automatique
618	18	5	c	o	automatique
618	18	10	o	e	automatique
618	18	12	o	n	automatique
618	18	17	F	P	automatique
618	34	4	s	m	automatique
618	36	0	I	v	automatique
619	3	26	E	p	automatique
619	3	28	l	i	automatique
619	45	4	c	o	automatique
619	46	48	F	P	automatique
619	46	49	o	a	automatique
619	56	10	r	p	automatique
620	4	0	k	v	automatique
621	9	51	m	s	automatique
621	21	5	c	o	automatique
621	35	10	c	o	automatique
621	44	4	t	h	automatique
621	47	10	b	h	automatique
621	47	17	c	o	automatique
622	4	24	e	s	automatique
622	4	26	s	a	automatique
622	9	16	e	o	automatique
622	12	10	q	o	automatique
622	33	33	b	n	automatique
622	35	3	g	a	automatique
622	35	4	i	l	automatique
622	42	7	c	o	automatique
622	42	19	P	F	automatique
622	49	3	p	n	automatique
622	49	4	m	u	automatique
622	49	5	m	r	automatique
622	55	12	c	e	automatique
623	11	5	o	c	automatique
623	13	19	s	m	automatique
623	20	0	k	v	automatique
623	24	0	k	v	automatique
623	28	0	k	v	automatique
623	34	0	k	v	automatique
623	34	39	s	m	automatique
623	35	11	p	t	automatique
624	9	10	a	K	automatique
624	12	7	A	a	automatique
624	42	5	c	o	automatique
624	42	20	s	x	automatique
625	27	0	I	v	automatique
625	32	29	s	m	automatique
625	47	0	k	v	automatique
625	51	0	k	v	automatique
626	24	4	c	o	automatique
626	42	5	c	o	automatique
626	48	6	c	o	automatique
626	48	9	F	P	automatique
626	50	60	s	m	automatique
627	28	59	q	u	automatique
627	37	0	k	v	automatique
627	47	11	b	o	automatique
628	7	1	o	u	automatique
628	29	5	E	o	automatique
628	43	3	m	s	automatique
628	46	3	n	p	automatique
628	48	8	c	o	automatique
629	0	57	p	s	automatique
630	26	6	u	m	automatique
630	26	8	t	p	automatique
630	34	10	e	o	automatique
630	51	29	o	p	automatique
630	58	18	l	o	automatique
631	9	6	o	u	automatique
631	9	15	o	n	automatique
631	25	7	c	o	automatique
632	6	4	c	o	automatique
632	29	46	i	l	automatique
632	32	0	y	s	automatique
632	33	46	y	s	automatique
632	36	2	s	a	automatique
632	37	46	y	v	automatique
632	37	47	e	a	automatique
632	43	0	y	v	automatique
632	52	0	y	v	automatique
632	55	7	L	l	automatique
633	6	40	c	o	automatique
633	20	9	L	l	automatique
633	20	54	e	a	automatique
633	20	55	z	s	automatique
633	50	0	z	s	automatique
633	50	1	e	a	automatique
634	12	0	z	a	automatique
634	25	4	e	a	automatique
634	50	10	c	o	automatique
634	57	5	o	c	automatique
635	8	26	g	S	automatique
635	41	19	s	z	automatique
635	44	61	z	c	automatique
635	49	13	s	e	automatique
636	39	22	s	m	automatique
637	27	10	K	N	automatique
637	32	20	k	Q	automatique
638	37	6	x	k	automatique
638	42	0	b	t	automatique
638	47	0	I	y	oeil
