# Toutes les cellules dont la lecture a ete modifiee par rapport au decodage brut.
# image	ligne	colonne	lu	retenu	origine
147	3	22	s	a	automatique
147	30	26	o	a	automatique
147	47	32	o	p	automatique
147	52	25	i	l	automatique
148	9	0	d	e	automatique
148	17	0	s	e	automatique
148	26	20	a	z	automatique
148	30	0	o	e	automatique
148	40	0	s	e	automatique
149	15	9	l	I	automatique
149	29	33	T	P	automatique
149	29	52	x	k	automatique
150	16	1	r	o	automatique
150	16	2	c	p	automatique
150	26	0	s	e	automatique
150	47	29	p	t	automatique
151	15	36	s	x	automatique
151	26	27	c	o	automatique
151	32	0	i	e	automatique
151	34	18	V	v	automatique
151	46	27	Q	q	automatique
151	47	15	Q	q	automatique
151	49	9	Q	q	automatique
152	5	0	d	e	automatique
153	4	16	I	l	automatique
153	27	14	a	z	automatique
154	14	0	d	e	automatique
154	19	10	I	T	automatique
154	24	0	s	e	automatique
154	26	0	s	e	automatique
154	30	0	s	e	automatique
154	57	0	d	e	automatique
155	43	36	p	t	automatique
156	5	11	o	e	automatique
156	5	12	f	r	automatique
156	11	0	e	s	automatique
156	41	0	a	e	automatique
156	47	0	s	e	automatique
158	13	0	s	e	automatique
158	16	0	s	e	automatique
158	32	0	d	e	automatique
158	40	0	d	e	automatique
159	18	10	b	i	automatique
159	19	53	e	a	automatique
159	19	54	z	s	automatique
159	52	4	c	o	automatique
160	17	0	d	e	automatique
160	29	0	s	e	automatique
160	36	0	s	e	automatique
161	31	4	I	P	automatique
161	32	7	I	r	automatique
161	39	59	x	s	automatique
163	12	39	o	c	automatique
163	20	51	a	k	automatique
163	26	17	s	m	automatique
163	26	18	a	e	automatique
163	43	69	i	d	automatique
164	14	4	m	u	automatique
164	14	8	c	o	automatique
164	19	3	l	k	automatique
164	19	4	m	a	automatique
164	26	3	r	n	automatique
164	26	4	m	o	automatique
164	28	8	L	l	automatique
164	32	17	c	o	automatique
165	8	4	e	v	automatique
165	31	19	s	z	automatique
165	31	48	s	z	automatique
165	33	31	e	s	automatique
165	33	32	n	u	automatique
165	47	0	i	f	automatique
165	50	9	E	B	automatique
166	15	16	R	N	automatique
166	21	8	h	n	automatique
166	44	64	c	o	automatique
166	45	51	e	a	automatique
166	58	50	p	t	automatique
167	37	0	d	f	automatique
167	37	6	d	a	automatique
168	7	5	c	o	automatique
168	25	4	c	o	automatique
168	32	0	d	f	automatique
169	2	9	R	S	automatique
169	28	59	e	a	automatique
169	35	44	s	x	automatique
169	49	13	a	e	automatique
170	8	10	A	a	automatique
170	18	6	s	e	automatique
171	25	17	x	s	automatique
171	40	32	c	o	automatique
171	42	4	d	a	automatique
172	16	0	f	p	automatique
172	21	5	c	o	automatique
172	43	7	c	o	automatique
173	22	10	o	e	automatique
173	29	2	j	l	automatique
173	40	24	c	o	automatique
174	11	13	A	e	automatique
174	11	14	m	s	automatique
174	17	4	c	o	automatique
174	56	5	e	o	automatique
175	12	0	i	f	automatique
175	21	19	c	o	automatique
175	29	26	p	t	automatique
175	29	28	s	a	automatique
175	43	60	a	k	automatique
175	49	18	I	T	automatique
175	51	8	A	a	automatique
176	3	5	c	o	automatique
176	16	0	d	f	automatique
176	16	9	c	o	automatique
176	18	7	I	P	automatique
176	24	6	c	o	automatique
176	46	5	I	r	automatique
177	29	15	A	a	automatique
178	2	5	c	o	automatique
178	34	4	c	o	automatique
178	37	9	B	R	automatique
178	43	59	s	x	automatique
178	47	5	s	m	automatique
178	49	31	f	T	automatique
178	50	18	z	t	automatique
179	5	11	s	m	automatique
179	9	0	i	f	automatique
179	35	30	s	m	automatique
180	2	7	c	o	automatique
180	11	25	y	v	automatique
180	28	23	s	x	automatique
180	42	15	h	n	automatique
180	45	9	c	o	automatique
180	48	20	c	o	automatique
181	11	8	b	o	automatique
181	21	6	c	o	automatique
181	39	4	o	u	automatique
181	47	6	c	o	automatique
182	8	4	c	o	automatique
182	13	8	c	o	automatique
182	18	5	n	o	automatique
182	25	32	a	s	automatique
182	26	29	c	o	automatique
183	11	27	c	o	automatique
183	49	10	e	v	automatique
184	16	3	c	o	automatique
184	20	12	s	m	automatique
185	18	9	c	o	automatique
186	31	5	m	a	automatique
186	40	5	s	a	automatique
187	15	4	c	o	automatique
187	17	27	s	m	automatique
187	32	12	I	T	automatique
187	36	57	e	a	automatique
188	10	4	p	t	automatique
188	24	6	A	a	automatique
188	49	42	h	n	automatique
189	6	17	M	k	automatique
189	13	15	A	a	automatique
189	36	7	r	p	automatique
189	40	31	c	o	automatique
189	48	30	s	m	automatique
189	53	35	c	o	automatique
190	6	52	k	x	automatique
190	6	56	e	a	automatique
190	24	4	c	o	automatique
190	32	5	s	x	automatique
191	13	32	T	I	automatique
192	14	8	u	a	automatique
192	14	9	o	n	automatique
192	16	22	R	N	automatique
192	36	47	p	t	automatique
192	54	25	G	D	automatique
193	6	44	o	S	automatique
193	40	64	g	a	automatique
194	7	11	c	o	automatique
194	36	5	c	o	automatique
194	44	13	o	e	automatique
194	48	12	o	a	automatique
194	48	13	h	n	automatique
196	7	3	t	p	automatique
196	12	3	e	a	automatique
196	30	3	k	a	automatique
196	30	4	o	c	automatique
196	44	0	g	s	automatique
196	48	42	l	I	automatique
196	55	53	s	x	automatique
196	58	3	c	o	automatique
197	32	0	g	s	automatique
197	32	1	e	a	automatique
197	32	3	u	a	automatique
197	52	7	c	e	automatique
198	12	0	s	g	automatique
198	14	0	s	g	automatique
198	59	36	z	c	automatique
199	11	3	R	N	automatique
199	35	4	s	e	automatique
199	44	19	F	P	automatique
199	50	10	G	C	automatique
200	6	0	s	g	automatique
200	10	0	s	g	automatique
200	16	0	s	g	automatique
200	16	1	l	i	oeil
200	16	6	c	o	automatique
200	19	11	s	m	automatique
200	21	0	s	g	automatique
201	2	9	s	o	automatique
201	24	32	s	m	automatique
201	50	35	o	a	automatique
201	50	36	i	f	automatique
201	52	25	p	t	automatique
202	26	1	i	l	automatique
202	29	18	D	O	automatique
202	38	4	c	o	automatique
203	6	19	s	m	automatique
204	37	5	s	m	automatique
204	43	4	c	o	automatique
204	46	7	c	o	automatique
205	2	17	R	N	automatique
205	11	7	F	P	automatique
205	44	0	g	R	automatique
206	12	0	s	g	automatique
206	12	1	y	r	automatique
206	19	8	c	o	automatique
206	40	11	b	n	automatique
206	40	12	a	e	automatique
206	42	8	c	o	automatique
206	44	6	c	o	automatique
206	47	4	c	o	automatique
207	13	5	e	o	automatique
208	9	4	m	u	automatique
208	13	8	A	a	automatique
208	17	5	c	o	automatique
208	32	0	g	s	automatique
208	35	0	g	s	automatique
208	44	4	c	o	automatique
208	49	6	c	o	automatique
208	49	34	l	i	automatique
208	49	35	a	s	automatique
208	53	0	g	s	automatique
209	9	4	u	e	automatique
209	9	38	e	a	automatique
209	12	24	c	o	automatique
209	17	26	o	e	automatique
209	45	7	e	a	automatique
210	16	0	s	g	automatique
210	22	10	o	c	automatique
210	26	4	c	o	automatique
210	29	0	s	g	automatique
210	32	0	s	g	automatique
210	48	7	c	o	automatique
211	14	8	o	p	automatique
211	30	46	p	t	automatique
211	41	4	q	o	automatique
212	2	8	c	o	automatique
212	5	5	c	o	automatique
213	9	41	i	l	automatique
213	9	42	k	a	automatique
214	5	21	D	C	automatique
214	14	14	e	o	automatique
214	14	18	o	u	automatique
214	27	50	i	f	automatique
214	27	52	t	l	automatique
214	37	1	m	o	automatique
214	48	33	e	a	automatique
214	48	53	a	e	automatique
215	7	18	i	l	automatique
215	10	0	b	h	automatique
215	18	6	c	o	automatique
215	29	44	l	i	automatique
215	54	15	c	o	automatique
216	6	0	b	h	automatique
216	15	50	B	S	automatique
216	40	10	D	C	automatique
216	42	19	F	P	automatique
216	42	21	b	t	automatique
216	57	6	a	e	automatique
216	57	7	t	s	automatique
217	2	23	p	t	automatique
217	31	62	a	s	automatique
217	36	0	o	h	automatique
217	50	17	c	o	automatique
218	8	58	s	z	automatique
218	13	4	m	o	automatique
219	7	0	b	h	automatique
219	15	8	c	o	automatique
219	23	0	b	h	automatique
219	35	4	c	o	automatique
219	38	19	i	f	automatique
219	40	6	o	a	automatique
219	42	25	o	a	automatique
219	46	40	h	n	automatique
219	50	7	c	o	automatique
220	2	61	e	o	automatique
220	3	4	i	l	automatique
220	3	5	e	o	automatique
220	3	9	u	o	automatique
220	56	48	e	o	automatique
221	2	0	n	h	automatique
221	15	37	c	o	automatique
221	34	0	n	h	automatique
221	37	0	b	h	automatique
221	48	47	s	m	automatique
221	56	3	o	e	automatique
221	56	5	e	o	automatique
222	11	21	o	n	automatique
222	12	53	t	p	automatique
222	12	54	a	s	automatique
222	12	55	s	a	automatique
222	19	16	S	B	automatique
222	19	17	u	a	automatique
222	19	18	x	z	automatique
223	2	12	c	o	automatique
223	2	20	c	o	automatique
223	2	57	s	a	automatique
223	25	21	c	o	automatique
224	27	0	b	h	automatique
224	36	4	c	o	automatique
224	40	0	b	h	automatique
224	43	0	b	h	automatique
