vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
acipitro	zool.	Rapt-ucelo jornala, qua ne flugas en la alta strati di atmosfero	astur palumbarius				6	11	13	sen-lingua
acizo		Imposto di ula vari (nutrivi, e c.) ye la enireyo di urbo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	6	14	13	
adaptar	trans., ad	Unionar (kozo) ad altra kozo qua konvenas a lu			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	6	17	13	
adenino	kemio	C₅H₅N₅					6	20	13	sen-lingua
adenito	patol.	Inflamuro di la glandi o ganglioni limfala					6	22	13	sen-lingua
adepto		Persono quan onu iniciis pri ula arto o doktrino			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	6	24	13	
adequata	filoz.	Qua equivalas, esas adaptita, korespondas perfekte a la objekto (aludante penso, cienco, e c.)			Germana,Angla,Franca,Hispana	DEFS	6	27	13	
adherar	netrans., ad	Quaze glutinesar an ulo ¶ (metaf.) Ligar su komplete ad opiniono, a partiso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	6	30	13	
adiar	trans.	Pronuncar la formulo di politeso kande onu su separas (de ulu) ¶ Pronuncar la formulo di renunco od abandono			Germana,Angla,Franca,Italiana,Hispana	DEFIS	6	33	13	
adiabata	fiziko	Quan kaloro povas permear					6	37	13	sen-lingua
adicionar	matem.	Adjuntar nombro ad un o plura nombri di la sama naturo, por unionar li ad una			Germana,Angla,Franca,Italiana,Hispana	DEFIS	6	39	13	
adipocero	kemio	Nomo olima di tri substanci quin onu kredis inter-identa, ma qui interdiferas esencale : spermaceto, la grasajo di la kadavri, e kolesterino (C₂₇H₄₅OH)					6	42	13	sen-lingua
adjektivo	gram.	Vorto-speco qua expresas la eso-maniero			Germana,Angla,Franca,Italiana,Hispana	DEFIS	6	46	13	
adjudikar	trans., ad	(yurocienco) Atribuar, per judicio, a la autoritato o persono qui esas kompetenta ¶ (lor vendo) Atribuar a la persono qua ofras po lo la preco maxima			Germana,Angla,Franca,Italiana,Hispana	DEFIS	6	49	13	
adjurar	trans., pri	Sumnar (ulu), ye la nomo di sakrajo ke lu agez ulo			Angla,Franca	EF	6	54	13	
adjutanto	armeo	Oficiro qua servas generalo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	3	14	
administrar	trans.	Direktar, surveyar la jero di la aferi di societo, di stato, di privato			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	5	14	
admirar	trans., pri, pro	Kontemplar astonate			Angla,Franca,Italiana,Hispana	EFIS	7	8	14	
admiralo	armeo navala	Oficiro di qua la grado esas maxima en la hierarkio di la navaro militala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	10	14	
admisar	trans., aden	Aceptar aden loko ulu qua havas la qualesi postulata por lo			Angla,Franca,Italiana,Hispana	EFIS	7	13	14	
adolecar	netrans.	Esar en ta evo-periodo qua sequas puereso e preiras adulteso (t.e. de 15 til 20 ev-yari)			Angla,Franca,Italiana,Hispana	EFIS	7	16	14	
