vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
kromotipar	trans.	Imprimar koloroze per la procedi tipografiala			Germana,Angla,Franca,Rusa,Hispana	DEFRS	317	24	324	
kron		Monet-uno, di qua la valoro varias segun la landi (Britania, Suedia, e c.)					317	27	324	sen-lingua
krono		Ringo destinita a metesar cirkum la kapo : (1) Ringo de flori, de folii interplektita quan onu metas cirkum la kapo kom (a) ornivo; (b) distingivo armeala o civila. (metaf.) Rekompenso cielala; (2) Ringo de metalo, ornita ye floroni, ye perli, e c. quan onu metas cirkum la kapo kom insigno di la suvereneso, di la nobeleso. La krono rejala, dukala, e c. qua esas super la stampuro blazonala ¶ To di quo la formo memorigas krono ¶ Dento-krono : la parto supra qua salias de la jenjivo e kovresas ye emalio			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	317	30	324	
kronglaso		Vitro diafana di tre bela qualeso, qua kontenas multa potaso, tre facile gisebla (fuzebla), di qua la refraktiveso-grado esas tre alta, e qua uzesas por fabrikar lensi por la instrumenti optikala, ed anke prismi kromata			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	317	41	324	
kronika	aludante morbo	Qua par-iras lente sua periodi ¶ Qua divenis forta segun ke tempo fluis e, konseque, ne plus esas akuta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	317	47	324	
kroniko		Kolektajo de fakti historiala, segun la ordino di lia evento ¶ Ensemblo ek la fakti, ek la informi qui esas mencionita pri la personi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	317	51	324	
kronologio		La cienco di qua la temo esas pruvar la dati di la eventaji.historiala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	317	55	324	
kronometro		Horlojeto di qua la pendulo esas kompensita, tale ke lu ne varias segun la temperaturo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	2	325	
kropo	anat.	Sako o membrano quan la uceli havas sub la guturo, ed en qua la nutrivi sejornas ante pasar aden la stomako			Germana,Angla	DE	318	5	325	
kroso		Bastono eklezio-pastorala, signo di la episkopeso od abadeso, kun un extremajo kurvigita forme di voluto, quan la abadi kustumis portar kun la voluto adinterne, e la episkopi adextere ¶ Parto kurvigita per qua finas fusilo, pistolo, ye la parto opozita a la tubo			Franca	F	318	9	325	
krotalo	zool.	Serpento venenoza, di qua la korneti, inter-inkastrita ye la extremajo di la kaudo, kliktas	crotalus		Franca,Italiana,Hispana,Latina	FISL	318	16	325	
krotono	bot.	Planto qua formacas genero di la familio « euforbiacei », di qua un speco donas la tornasolo, e di qua un altra donas emetiko e purgivo, e grani de qui onu ekpresas oleo akra, uzata kom drastiko e kom revulsivo violenta	croton		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	20	325	
krozar	netrans.) (aludante navo	Trairar maro, en ula regioni, por surveyar li			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	26	325	
kruco		(epoki antiqua) (1) Sorto di jibeto, maxim-multakaze trairata da traverso, sur qua onu igis mortar ula krimininti, surligita o surklovagita ye la extremaji di lia membri. (2) La jibeto sur qua Iesu Kristo esis klovagata ed ocidata (segun kristanismo). (3). Metaf. : La religio di Iesu Kristo. (4) Objekto krucoforma, ek ligno, metalo, e c., simbolo di Iesu Kristo krucagita ¶ Distingivo honorizanta, ornivo ek kruco ¶ To quo esas krucoforma			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	29	325	
krucho		Vazo tera, terakota, larja-ventra, kun anso e kolo, destinita a kontenar liquidi			Germana,Franca,Rusa	DFR	318	39	325	
krucifera	bot.	Di qua la petali esas krucoforma			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	42	325	
krucifixo		Kruco ek ligno, metalo, ivoro, e c., sur qua esas reprezentita Iesu Kristo krucagita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	318	45	325	
kruda		(aludante la substanci nutrivala) Qua ne esas koquita o bakita ¶ (aludante materio quan onu submisas a preparo) Qua ne subisis ta preparo ¶ (metaf.) Quan nulo minfortigas (kom ex. : termino, dis-kurso, kolori qui ne fuzesas kun olti qui cirkondas li)			Angla,Franca,Italiana,Hispana	EFIS	318	48	325	
kruela		Qua diletas per sufrigar ¶ Qua sufrigas			Germana,Franca,Italiana,Hispana	DFIS	319	2	326	
krugo		Vazo ansoza, kun ventro tre konvexa, kolo streta, boko expansita, ek ligno, kun cirkondo-bendi fera o stana, e qua kontenas inter 5 e 10 litri; uzata por rakar vino, precipue en vino-venderio			Germana	D	319	4	326	
krular	netrans.) (aludante edifico, propradice e metafore	Subite falar unbloke, e divenar fragmenti ed eskombri pro la shoko kontre sulo			Franca,Italiana	FI	319	9	326	
krumo		Parto interna di pano-bloko, qua, pro ne subisir la efiko da fairo, duras esar mola			Germana,Angla	DE	319	13	326	
krumplar	trans.	Desfreshigar (stofo) per quaza petriso qua igas lu aspektar quale shifono			Germana,Angla	DE	319	16	326	
krupo	patol.	Laringito akuta, qua afektas la infanti, e karakterizata da tuso rauka e da la produkteso di falsa membrani qui obstruktas la respir-tubi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	319	19	326	
krupiero		En hazardo-luderio, la employato qua direktas la *ruleto-ludo ye la nomo di la direktero di la firmo			Germana,Angla,Franca,Italiana	DEFI	319	23	326	
kruro	anat.	Parto di la gambo, qua iras de la hancho til la genuo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	319	26	326	
krusto		Parto extera di pano-bloko, hardigita ed igita krakanta per bako ¶ Parto bakita qua cirkondas pasteto, karno-torto o fisho-torto ¶ Parto solida, friabla, qua naskas periferie di ula kozi ¶ Envelopilo di la krustacei			Germana,Angla,Franca,Italiana,Hispana	DEFIS	319	29	326	
krustacei	zool.	Klaso ek animali artropoda, di qui la korpo esas envelopita da krusto kalka			Germana,Angla,Franca,Italiana,Hispana	DEFIS	319	34	326	
kruzelo		Vazo ek materio fair-espruva, porcelano, metalo, maxim-multa-kaze plu-stretigita apud la fondo, e destinita a la giso o kalcino di ula substanci			Angla,Franca,Italiana,Hispana	EFIS	319	37	326	
kuafar	trans.	Ajustar la hararo per dispozar la hari ula-maniero			Germana,Angla,Franca	DEF	319	41	326	
kubo		Paralelepipedo sis-edra, qua formacas quadrati interegala ¶ La tria potenco di nombro, o la produto de la nombro, multiplikita per lua quadrato			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	319	44	326	
kubebo	bot.	Sorto di pipriero. La frukto de ta arboreto uzesis olim, forme di pipro, en la kuraco di la blenoragio	piper cubeba		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	319	48	326	
kubiko	matem.	Equaciono triesma-grada, en qua la nekonocato esas ye la tria potenco			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	319	52	326	
kubito	anat.	La plu grosa ek la osti di la avan-brakio, qua okupas olua parto interna e supra, e di qua la extremajo formacas la kudo per sua junto artike a la humero			Angla,Franca,Italiana,Hispana	EFIS	319	55	326	
kuboido	anat.	La mikra osto kubatra, qua esas an la parto extera e supra di la tarso			Angla,Franca	EF	320	2	327	
kudo		(anat.) Angulo salianta quan formacas la parto dopa di la artiko di la brakio kun la avanbrakio ¶ Loko di la maniko di vesto, qua korespondas a la kubito ¶ Angulo salianta (kom ex. : la rivero, la voyo, sinuifas kude) ¶ Parto di utensilo, di instrumento, qua formacas angulo salianta ¶ Peco de tubo, formacita ek du parti qui facas angulo			Franca,Italiana,Hispana	FIS	320	5	327	
kuglo		Mikra globo ek metalo, uzata kom projektilo en la pafarmi portebla			Germana	D	320	13	327	
kuko	koquarto	Mixuro ek farino, butro, ovi, reduktita a pasto, bakita, ed ulakaze sukrizita, aromatizita, garnisita ye kremo, e c.			Germana,Angla	DE	320	16	327	
kukombro	bot.	Planto leguma un-yar-vivanta, ek la familio « kukurbitacei ». Frukto di ta planto, oblonga, tre aquoza, quan onu manjas o koquita o salade	cucumis sativus		Germana,Angla,Franca,Hispana	DEFS	320	20	327	
kukulo	zool.	Ucelo klimera, ek la genero « pigo »	cuculus canorus		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	320	25	327	
kukurbito	bot.	Varietato di gurdego. La frukto di ta varietato	cucurbita		Angla,Franca,Italiana,Hispana	EFIS	320	28	327	
kukurbitaceo	bot.	Familio de planti herbatra, kun stipito reptera, di qua la gurdego esas la tipo			Angla,Franca,Italiana,Hispana	EFIS	320	31	327	
kulo		(anat.) La dopa parto (ek la glutei e la supra parto di la kruri) di la korpo homa ed animala ¶ La fundo di ula kozi (botelo, plado, glaso, sako; en la artichoko : la parto pulpoza qua portas la feno e la foliilFIS)					320	34	327	sen-lingua
kulato		La fundo di la tubo di pafarmo, plu dika kam la cetero pro ke lu korespondas a la kargajo de pulvero			Franca,Italiana,Hispana	FIS	320	39	327	
kulbutar	netrans.	Bruske falar renverse ¶ Saltar rotacante, kapo adavane ed addope ¶ Renversesar rotace, tale ke la infrajo divenas la suprajo			Franca	F	320	42	327	
kulco	zool.	Mikra moskito	culex				320	46	327	sen-lingua
kulebrino		Sorto de kanono, longa e mikra-diametra, quan onu uzis olim			Angla,Franca,Italiana,Hispana	EFIS	320	48	327	
kuli		En India, Indochinia, Insulo Mauricio : pen-laboristo, portisto					320	51	327	sen-lingua
kuliero		Implemento di la tablo, di la koqueyo, e c. ek mancho, e parto konkava, ovala o cirklatra, per qua onu cherpas, de vazo, de plado, e c., nutrivi liquida o mi-liquida, por transvarsar li o portar li aden sua boko			Franca	F	320	54	327	
kuliso		(tekn.) Suportilo kun ranuro interna, alonge qua peco moviva povas irar e retrovenar sen obstaklo ¶ (1) Ranuro facita sur la *stejo di teatro, alonge qua onu movas la frami di la dekoruri. (2) Parto di la teatro qua esas dop la *stejo ¶ En borso financala : la loko ube operacas la kurtajisti qui ne havas permiso oficala ¶ Rifalduro en la supra parto di kurteno, en qua onu igas pasar stango – en la bordo di vesto, por igar pasar kordono qua posibligas lua min-longigo per plisuri			Germana,Angla,Franca,Rusa	DEFR	321	2	328	
kulminar	netrans.	(astron.) Atingar, pasante ye la meridiano, sua alteso maxima super horizonto ¶ (metaf.) Esar (sociale) tre altagrade			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	12	328	
kulpar	netrans., pri, pro	Faliar pri agar sua devo, koncerne od etiko o prudenteso e habileso			Angla,Franca,Italiana,Hispana	EFIS	321	16	328	
kultar	trans.	Honorizar deo suprega ¶ (metaf.) Adorar ulu, ulo ¶ Agar la ceremonii extera per qui la homi honorizas deo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	19	328	
kultelo		Instrumento mikra-dimensiona, facita por tranchar o sekar, e qua konsistas ye lamo muntita an mancho			Franca,Italiana	FI	321	23	328	
kultivar	trans.	Submisar (tero) ad ula labori por igar lu fertila ¶ Submisar (la planti) a sorgi destinata a plubonigar la efiko da naturo ¶ Explotar (ula planti) por rekoltar lia produkturo ¶ (metafore) Kultivar la arti pacala, kultivar la cienco, spirito, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	26	328	
kulturo		La rezultajo de la kultivo di la arti, di la cienci, di literaturo, di etiko			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	32	328	
kumino	bot.	Planto umbelifera, di qua la grani esas aromoza (li saporas quale anizo)	carum carvi		Angla,Franca,Italiana	EFI	321	35	328	
kumis		Drinkajo fermentacita quan la nomadi di la centroregioni di Azia e di la sudo-regioni di Rusia, fabrikas ek la lakto di la kavalini					321	38	328	sen-lingua
kumpreso		Peco de linjo, faldita plura-duople, quan onu aplikas sur korpo-parto malada, por ibe mantenar la pansuro, recevar la puso, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	42	328	
kumular	trans.	(jurisprudenco) Asemblar en sua persono (plura yuri, plura autoritati) ¶ Exercar plura funcioni nacionala salario-implikanta			Franca	F	321	46	328	
kun		Akompanata da... ¶ Karakterizata da...Juntita a					321	50	328	finalo-nekustumala,sen-lingua
kuneiforma	arkeol.	Qua havas la formo di konio, di flecho-pinto (kom ex. la literi kuneiforma di la antiqua Asiriani, Medi e Persi)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	321	52	328	
kuniklo	zool.	Quadripedo, ek la klaso « vageri », di qua la gambi dopa esas kelke plu longa kam le avana, e qua exkavas ter-truo quan lu habitas	lepus cuniculus		Italiana,Hispana,Latina	ISL	322	2	329	
kupo		Vazo drinkala, expansita, kun pedo, ek bronzo, arjento, oro, kristalo, e c.			Angla,Franca,Italiana,Hispana	EFIS	322	6	329	
kupeo		Veturo *kluza (klozita), di qua la korpo havas la formo di berlino di qua la fako avana esabus tranchita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	9	329	
kupelo	tekn.	Mikra vazo poroza, quan onu uzas por purigar oro ed arjento per litargiro, qua fortiras la aloyuro ed absorbesas kun lu da la parieti, dum ke la oro e la arjento restas maso en la fundo di la vazo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	12	329	
kuperoso	patol.	Morbo di la pelo di la vizajo, karakterizata da makuli redatra			Franca,Italiana,Hispana	FIS	322	17	329	
kuplar	tekn.	Juntar du peci de fero per charniri, rivetaguri, e c.			Germana,Angla,Franca,Italiana	DEFI	322	20	329	
kupleto		En kansono plura-strofa, omna parto quan finas refreno			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	322	23	329	
kupolo	arkitekt.	Mi-sfero, di qua la formo esas olta di kupo subversita (kom ex. : la kupolo di Panthéon, en Paris; la kupolo di la katedralo Santa Paulo, en London; la kupolo di la Parlamento di Usa, en Washington)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	26	329	
kupono		Parto de-tranchita, separita de ensemblo (ensemblo ek rent-akto, karto di porcionizo nutrivala, tabakala, dum indijo nacionala)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	31	329	
kupro	kemio	Korpo simpla, metalo redatra, plu gisebla kam oro e kam arjento, tre duktila e martelagebla		Cu	Germana,Angla,Franca,Italiana,Hispana	DEFIS	322	35	329	
kupulo	bot.	Asembluro ek braktei, quaze soldita ye sua bazo, formacanta quaza kupo mikra, qua cirkondas la floro e salias pinto cirkum la frukto			Germana,Angla,Franca,Italiana,Hispana	DEFIS	322	39	329	
kurar	netrans.	(aludante homo, animalo) Irar, per springi, plu rapide kam marche : I. esforcante devancar ulu; 2. esforcante atingar ulu; 3. esforcante forirar de ulu			Franca,Italiana,Hispana	FIS	322	43	329	
kuracar	trans.) (aludante mediko	Agar a malado ye la maniero quan lu judikas kom apta risanigor lu			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	47	329	
kuracao		Liquoro facita ek la shelo di oranji bitra			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	50	329	
kurajar	trans.	Ne-angorar koram danjero ¶ Esar energioza koram obstaklo vinkenda ¶ Esar psike sat forta pri rezistar ulu, ulo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	322	53	329	
kuraro		Veneno ek planti, aden qua la Amerindiani di la sudo-regiono di Amerika trempas sua flechi			Germana,Angla,Franca,Italiana,Hispana	DEFIS	323	2	330	
kuraso		Armo defensala ek ledro, metalo, e c., qua envolvas e protektas la pektoro e la dorso ¶ La squamaro qua envolvas ula fishi ¶ Kovrilo ek plaki de fero o de stalo qua protektas la kareno di ula milito-navi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	5	330	
kuratar	yurocienco	Komisesar, segun la lego, pri defensor la havajo e la interesti sive di minoro, sive di majoro qua esas deklarita nekapabla administrar sua heredajo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	10	330	
kurbaturar	trans.) (aludante fatigo-kauzo ecesanta, o morbo	Igar extreme nekapabla pri esforco, pro la doloro specala qua afektas la muskuli pos granda esforco			Franca	F	323	14	330	
kurear	netrans.) (aludante chaso kun hundi	Abandonar a la chaso-hundi parto de la bestio quan li kaptis			Franca	F	323	18	330	
kuretar	trans.	Deprenar la kalkoli de la veziko, lor la operaco « litotomio », per instrumento di qua un extremajo esas kulieratra, e qua uzesas por deprenar la materii qui normale ne esas en ta kavajo			Franca	F	323	21	330	
kurio	eklezio katol.	Ensemblo ek la tribunali, ek la organismi administrala, di la guverno-sistemo papala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	26	330	
kuriero		Persono qua vehas rapide, per kavalo, por arivar ante veturo o por preparar la relayi ¶ Portisto di depeshi qua cirkulas pede, kavale o bicikle ¶ Portisto di depeshi qua cirkulas per veturo ordinara, automobila, o per veturo postala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	29	330	
kurioza		Qua deziras vidar, konocar, saveskar			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	35	330	
kurkuliono	zool.	Insekto koleoptera, di qua un speco rodas frumento	curculio		Italiana,Hispana,Latina	ISL	323	37	330	
kurkumo	bot.	Genero di planto herbacea, perena, quan onu renkontras en Azia, Afrika ed Amerika; la radiko di un speco di olu (la safrano di India) uzesas en la tinteyi, pro olua kolorizivo flava	curcuma longa		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	40	330	
kurlio	zool.	Ucelo ek la familio « stiltieri » longa-beka	numenius		Angla,Franca,Italiana,Hispana	EFIS	323	45	330	
kurso		Serio de lecioni qui formacas ensemblo docala ¶ Preco di kompro o di vendo, pri kambiajo ¶ Cirkulo regulala di kambiajo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	323	48	330	
kursiva	pri skribo	Qua konsistas ek literi trasebla fluante, ed inklinata de dextre a sinistre. Dicesas anke pri la imprimotipo qua inklinesas same kam la skriburo ordinara			Germana,Angla,Franca,Italiana,Hispana	DEFIS	323	52	330	
kursoro	tekn.	Bloko plata, mobila alonge linealo, limbo gradizita, e c., uzata kom indexo			Angla,Franca,Italiana,Hispana	EFIS	324	2	331	
kurta		Di qua la extenseso, de un de sua extremaji til la altra, sinse di longeso o di alteso, esas poka ¶ Di qua la duro esas poka			Germana,Angla,Franca,Italiana,Hispana	DEFIS	324	5	331	
kurtajar	netrans.	Agar kom mediacero, en komerco, inter la vendanto e la kompranto, po pago			Franca,Rusa,Hispana	FRS	324	9	331	
kurteno		Peco de stofo tensita por celar o shirmar ulo od ulu ¶ (teatro) Kurteno qua celas la *stejo kande ne pleesas ¶ Facio di la muro di remparo inter du bastioni			Angla,Franca,Italiana,Hispana	EFIS	324	12	331	
kurtezar	trans.	Prizentar (ad ulu) sua homaji por obtenar lua favoro; esforcar obtenar favoreso (da o da ulu, precipue da muliero) per anuncar o dicar a lu ulo qua interesas lu ed efikas a lua vanitato			Germana,Angla,Franca,Italiana,Hispana	DEFIS	324	17	331	
kurva		Di qua omna elemento su eskartas, per deviaco preske neperceptebla, e segun *leyo (lego) fixa, de la rekto o de la plano. – (geom.) Lineo qua esas nek rekta, nek kompozuro ek rekti			Germana,Angla,Franca,Italiana,Hispana	DEFIS	324	22	331	
kurvimetro		Instrumento por mezurar la longeso di la kurvi, sur papero			Germana,Angla,Franca,Italiana,Hispana	DEFIS	324	27	331	
kuseno		Mikra sako quadrata, ek stofo, ledro, polsterizita ye plumi, krini, e c., por ke onu povez apogar su an olu			Angla,Franca,Italiana,Hispana	EFIS	324	30	331	
kushar	trans., sur	Pozar aden lito, instalar en lito ¶ Pozar aden lito, instalar en lito, por repozar nokto-dorme			Franca	F	324	34	331	
kuskuto	bot.	Herbo parazita filoforma, qua plektokaptas la planti vicina e sufokigas li	cuscuta		Franca,Italiana,Hispana,Latina	FISL	324	38	331	
kuspido	geom.	Punto ube kurvo su dividas aden du bendi, kun tangento komuna a ta punto					324	42	331	sen-lingua
kustar	trans.	(aludante objekto, laboro) Igar necesa la pago di pekunio-quanto por obtenesar kambie ¶ (metaf.) Igar necesa sakrifiko por obtenesor ¶ Havar kom konsequajo ulo quo impozas spenso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	324	45	331	
kustumar	trans.) (aludante populo, naciono od individuo	Agar konforme a la maniero establisita da longa experienco o praktiko			Angla,Franca,Italiana,Hispana	EFIS	324	50	331	
kuto		Sorto di tuniko, vesto di homulo o di homino. – (olim). Masho-kuto : tuniko ek felo sur qua esis suto-muntita dika bendi de ledro, lami, mashi de fero			Germana,Franca	DF	325	3	332	
kutio		Telo densa, glata, simpla o fasonita, uzata por envelopar la matraci, o kom tapeto-stofo, o por facar somer-vesti			Franca,Hispana	FS	325	7	332	
kutikulo	anat.	La epidermo nevivanta qua cirkondas la bordo di la ungli di la fingri			Angla,Franca	EF	325	10	332	
kutino	biol.	Substanco kemiala qua devenas de ula modifikeso di la celuloso ye la surfaco di la planto-korpo					325	13	332	sen-lingua
kutro		Mikra milito-navo, kun nur un masto			Germana,Angla,Franca,Italiana,Hispana	DEFIS	325	16	332	
kuvo		Granda vazo ek ligno, cirkla, facita ek duvi asemblita per cirkli fera, kun fundo			Franca,Hispana	FS	325	18	332	
kuvento		Domo en qua su asemblas, por vivar konforme ad un regulo religiala, personi qui adheris ad ordeno			Angla,Franca,Italiana,Hispana	EFIS	325	21	332	
kuverto		Peco de papero faldita tale ke lu povas envelopar letro			Germana,Rusa	DR	325	24	332	
kuzo		Persono qua naskis de la onklulo, de la onklino, di ulu					325	27	332	sen-lingua
la		Partikulo gramatikala qua, avan substantivo (expresata o tacata), indikas : (1) la tota speco, od omna individui di la speco; (2) un o plura individui determinata di la speco. Ta partikulo ne uzesas kun la nomi propra od di enti abstraktita, di qualesi, di vertui, di cienci, di astri, di sezoni, di monati					326	10	333	sen-lingua
la		Nomo di la noto sisesma di la « do »-gamo					326	17	333	sen-lingua
labaro		Standardo qua konsistas ek longa piquo trairata da bastono, qua subtenas banderolo de purpuro, e kronizita ye la aglo Romana qua portas, de lor la regno da la imperiestro Konstantino, la kruco e la monogramo di Iesu Kristo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	326	19	333	
labio	anat.	Parto karna qua garnisas extere la bordo di la boko ¶ (metaf.) To di quo la formo aspektas kelke quale la labii			Germana,Angla,Franca,Italiana,Hispana	DEFIS	326	25	333	
labirinto	epoki antiqua	Kluzajo kun cirkuiti komplikita, en qua la iranto desfacile rekonocas sua voyo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	326	29	333	
labirintodonto	paleont.	Grupo de amfibii giganta, ek la klaso (qua ne plus existas) « stegocefali », kun vertebri tre ostoza, korpo quaze kurasa ek plaki derma, e di qui la denti havas kaneli dispozita labirinto-forme. (onu renkontras tre multa de oli en la triaso di Britania)					326	32	333	sen-lingua
laborar		(netrans.) Esforcar (size, transporte, kombine, separe, e c.) igar ke la kozi naturala esez apta satisfacar la bezoni homala ¶ (trans.) Transformar (generale per utensilo o mashino) la kozi naturala por igar ke li esez apta satisfacar la bezoni homala			Angla,Franca,Italiana,Hispana	EFIS	326	38	333	
laboratorio		Chambro provizita ye la necesaji por la experimenti ciencala ¶ Chambro en qua la farmaciisti, la liquoro-distilisti, la bonbon-ifisti e c. preparas sua produkturi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	326	44	333	
labro		Genero de fishi teleostea, familio « percidi », ek plura speci di la hemisfero boreala, kun labii dika	labrus				326	49	333	sen-lingua
laco		Kordono streta, di qua la extremaji esas provizita ye fero-pinto per qua onu asemblas du parti di korseto, di shuo, e c.			Angla,Franca,Italiana,Hispana	EFIS	326	53	333	
lacerar	trans.	Dispecigar arache, tale ke lu ne plus esos uzebla			Angla,Franca,Italiana,Hispana	EFIS	327	5	334	
lacerto	zool.	Reptero sauria, kun quar gambi kurta e tenua, kaudo longa ek ringi flexebla e facile ruptebla (ma ri-kreskas)	lacerta		Angla,Franca,Italiana,Hispana	EFIS	327	8	334	
laciva		Inklinata a la plezuri amorala; qua su abandonas grosiere a la plezuri amorala, koitala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	327	12	334	
lado		Fero-tolo dina, kovrita ek induturo de stano, qua protektas lu de rusto			Italiana,Hispana	IS	327	15	334	
ladano	farmacio	Gumo rezina aromata, quan donas diversa arbusti, precipue la cisto di Kretia	ladanum		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	18	334	
lago		Mareto ek aquo stagnanta, interne di kontinento			Angla,Franca,Italiana,Hispana	EFIS	327	21	334	
laguno	geogr.	Parto di maro, poke profunda, inter insuleti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	23	334	
laika		Qua ne resortisas ad eklezio			Germana,Angla,Franca,Italiana,Hispana	DEFIS	327	26	334	
lako		Materio rezinoza, obtenata de ula arbori, mi-diafana, brune-reda, uzata por facar ula vaxi, tintivi, bela vernisi, e c. ¶ Verniso ek Chinia, tre prizata, nigra o reda, ornita ye figuri, arabeski, orizuri			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	28	334	
lakeo		Servisto livreoza, employata ye akompanar seque sua mastro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	33	334	
lakonika		Qua expresas lo pensata per tre poka vorti (segun la maniero di la habitanti Lakonia, lor la epoki antiqua. – DEFIRS. di)					327	36	334	sen-lingua
lakrimo		Guto de humoro limpida, quan sekrecas glando di la okulo, efike da emoceso kordiala o da efekto kozala			Angla,Franca,Italiana,Hispana	EFIS	327	40	334	
lakto		Liquido opaka, blanka, sukroza, sekrecata da la mamoglandi di la muliero e di la mamiferini, por la nutro di la jus-naskinti			Angla,Franca,Italiana,Hispana	EFIS	327	43	334	
laktazo	kemio	Diastazo, o fermento dissolvebla, sekrecata da kelka hefi, e qua transformas la laktoso a glikoso o galaktoso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	47	334	
laktometro		Areometro uzata por mezurar la denseso-grado di lakto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	51	334	
laktoso	kemio	Sukro C₁₂H₂₂O₁₁, en la lakto di la mamiferi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	327	54	334	
lakuno		Spaco vakua en la kontinueso di korpo ¶ Vakuajo en texto, en kateniguro, en serio			Angla,Franca,Italiana,Hispana	EFIS	327	57	334	
lamo		Peco de metalo, de ligno, de ivoro, e c., plata, dina e streta ¶ Parto fera, stala, di instrumento, di utensilo, apta tranchar, taliar, e c.			Angla,Franca,Italiana,Hispana	EFIS	328	3	335	
lamao	zool.	Quadripedo ruminera ek Peruvia, uzata kom charjo-bestio, e di qua la pili uzesas por facar texuri ¶ Sacerdoto di Buddha, en Tibet			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	328	7	335	
lamantino	zool.	Cetaceo herbivora	manatus		Germana,Angla,Franca,Italiana	DEFI	328	11	335	
lamarckismo	biol.	Teorio (transformista) da Lamarck, qua asertas ke exkluzive la cirkonstanci extera efikas a la materio vivoza			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	328	13	335	
lamelo		(tekn.) Mikra lamo de vitro sur qua onu pozas la objekto quan onu exploras per mikroskopo ¶ (bot.) Apendico di la korolo ye qua konsistas la krono ¶ (historio naturala) Mikra lamo ek bloko kayeroza, folioza			Germana,Angla,Franca,Italiana,Hispana	DEFIS	328	17	335	
lamentar	netrans., pri, pro	Lasar explozar, lor la emoco de sufro, klameti iterata			Germana,Angla,Franca,Italiana,Hispana	DEFIS	328	23	335	
